Metric,Model,EC,crop
R2,MT,0.606±0.037,0.829±0.048
R2,ST,0.593±0.029,0.826±0.040
R2,RF,0.022±0.019,0.789±0.040
R2,SVR,-0.017±0.034,0.565±0.049
R2,XGB,0.020±0.018,0.806±0.036
MSE,MT,0.001±0.000,0.764±0.049
MSE,ST,0.001±0.000,0.738±0.047
MSE,RF,0.002±0.000,0.628±0.075
MSE,SVR,0.003±0.000,0.197±0.022
MSE,XGB,0.002±0.000,0.729±0.037
