Metric,Model,pH,pref
R2,MT,0.640±0.117,0.826±0.050
R2,ST,0.605±0.081,0.816±0.034
R2,RF,-40.661±9.560,0.769±0.059
R2,SVR,-40.485±9.503,0.699±0.034
R2,XGB,-40.636±9.381,0.809±0.047
MSE,MT,0.158±0.080,0.783±0.095
MSE,ST,0.171±0.066,0.753±0.079
MSE,RF,16.789±1.506,0.714±0.064
MSE,SVR,16.714±1.479,0.498±0.062
MSE,XGB,16.789±1.437,0.735±0.060
