,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
S,fold3,,,,,,0.5062294004032099,,,,,,0.0635030986437094
M,fold4,0.14279363408387766,0.23920007020131973,0.7696322535694318,0.5234168351352518,0.8468014382246696,0.2693612479054145,2.909970760345459,1.117150902748108,49.788028717041016,16.04351043701172,0.2403687685728073,0.0634482279419899
M,fold4,0.1542730885935862,0.2705722090031039,0.7506107262646775,0.5228476038864751,0.8267966118262148,0.31211411409467965,2.907424211502075,1.1088707447052002,52.05269241333008,15.877020835876465,0.2724485695362091,0.06522492319345474
S,fold4,0.11487729869102167,,,,,,2.9442286491394043,,,,,
R,fold4,0.19944460880305673,,,,,,4.950929435255198,,,,,
X,fold4,0.12706417869641096,,,,,,5.609200954437256,,,,,
S,fold4,0.13722894594159474,,,,,,4.199017283179625,,,,,
S,fold4,,0.27603083940986456,,,,,,1.0954301357269287,,,,
R,fold4,,0.1219444385928403,,,,,,1.5995539089865873,,,,
X,fold4,,0.01684076713223661,,,,,,1.6360727548599243,,,,
S,fold4,,0.22543404411488144,,,,,,1.4693878691849926,,,,
S,fold4,,,0.7748192115841007,,,,,,51.10102462768555,,,
R,fold4,,,0.716519281342738,,,,,,5116.029672222808,,,
X,fold4,,,0.5520664240033173,,,,,,5306.46875,,,
S,fold4,,,0.6143582307098188,,,,,,3084.5585097531216,,,
S,fold4,,,,0.5116931004382427,,,,,,16.89611053466797,,
R,fold4,,,,0.4588293909357239,,,,,,812.1758359096445,,
X,fold4,,,,0.38124275569493,,,,,,804.8729248046875,,
S,fold4,,,,0.45156920450540217,,,,,,701.5894254411699,,
S,fold4,,,,,0.8440706742289362,,,,,,0.240407794713974,
R,fold4,,,,,0.8549103827448666,,,,,,4.15730044044369,
X,fold4,,,,,0.8267837130579322,,,,,,4.1429362297058105,
S,fold4,,,,,0.8500199725470597,,,,,,4.166298040320974,
S,fold4,,,,,,0.29791244240023024,,,,,,0.06365695595741272
R,fold4,,,,,,0.1675283595699146,,,,,,0.0821941332923872
X,fold4,,,,,,0.11399939868103,,,,,,0.08209602534770966
S,fold4,,,,,,0.2546905490889261,,,,,,0.08319810352550915
M,fold5,0.42192212848792465,0.42053454951323826,0.5252044135851864,0.6900775699036868,0.7556610462381163,0.40230976046757905,1.8520268201828003,0.6511683464050293,40.26343536376953,10.996554374694824,0.2838743031024933,0.0450914092361927
M,fold5,0.516507696652244,0.4443127693893219,0.5326716322678715,0.6602956066130768,0.7663276517175529,0.4123177342870855,1.6970528364181519,0.6617766618728638,37.89802169799805,11.271517753601074,0.2870732545852661,0.04012126475572586
S,fold5,0.5494069171137832,,,,,,1.6583408117294312,,,,,
R,fold5,0.4857124947647418,,,,,,22.71122385795492,,,,,
X,fold5,0.7776969805420202,,,,,,15.061867713928223,,,,,
S,fold5,0.7345590695724032,,,,,,12.234038257788422,,,,,
