Metric,Model,pH,Available.P
R2,MT,0.637±0.178,0.392±0.173
R2,ST,0.663±0.142,0.389±0.163
R2,RF,-166.238±30.496,-1.820±0.810
R2,SVR,-169.037±32.997,-30.729±6.175
R2,XGB,-142.341±24.539,-1.477±0.502
MSE,MT,0.258±0.050,40.106±7.384
MSE,ST,0.258±0.047,39.891±9.035
MSE,RF,3.958±0.113,6732.749±783.306
MSE,SVR,3.958±0.116,3769.443±208.094
MSE,XGB,3.950±0.114,6667.730±535.839
