,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
method,fold,,,,,,,,,,,,
S,fold3,,,,,,0.7098883989910676,,,,,,0.025036447086182592
M,fold4,0.8444359076156736,0.8232743850117217,0.7229110959750193,0.7828164770872854,0.9296702485598445,0.7997406613722422,0.8974368572235107,0.35547512769699097,37.16550064086914,10.6257905960083,0.1871623396873474,0.022821497172117233
M,fold4,0.8306753284875332,0.7763881407127343,0.7711698727919858,0.8101566151408474,0.9212747724165992,0.7736768579776647,0.9635570645332336,0.39404016733169556,34.12077331542969,9.854987144470215,0.1897631287574768,0.023272709921002388
S,fold4,0.8131786544345422,,,,,,0.9698115587234497,,,,,
R,fold4,0.8128830010999425,,,,,,0.963424324221647,,,,,
X,fold4,0.8103783273198112,,,,,,0.9079378247261047,,,,,
S,fold4,0.7985886509431245,,,,,,0.957099474132563,,,,,
S,fold4,,0.7988406575952293,,,,,,0.38613083958625793,,,,
R,fold4,,0.7048298272816277,,,,,,0.41926548888515053,,,,
X,fold4,,0.5769149480820617,,,,,,0.43040481209754944,,,,
S,fold4,,0.7096685446316922,,,,,,0.426000048670385,,,,
S,fold4,,,0.7557116677248343,,,,,,35.81114959716797,,,
R,fold4,,,0.7692327884944018,,,,,,38.98321110134422,,,
X,fold4,,,0.5191509184517434,,,,,,45.51068115234375,,,
S,fold4,,,0.7839860433620697,,,,,,36.169725051741615,,,
S,fold4,,,,0.7411558862295816,,,,,,10.880145072937012,,
R,fold4,,,,0.737444119137283,,,,,,11.169776205504766,,
X,fold4,,,,0.6332070589425497,,,,,,12.262055397033691,,
S,fold4,,,,0.7514572360192759,,,,,,10.598405168752723,,
S,fold4,,,,,0.9298445661321998,,,,,,0.16847003996372223,
R,fold4,,,,,0.8811312848243185,,,,,,0.22913664336909592,
X,fold4,,,,,0.8434543661252181,,,,,,0.26425647735595703,
S,fold4,,,,,0.9272284332518944,,,,,,0.19591731922098665,
S,fold4,,,,,,0.7933147104433461,,,,,,0.022829385474324226
R,fold4,,,,,,0.8211662915758977,,,,,,0.021423333725046935
X,fold4,,,,,,0.76123578842957,,,,,,0.02478920668363571
S,fold4,,,,,,0.761360155036648,,,,,,0.023057459146612676
M,fold5,0.6939894178195967,0.7563747622255729,0.6600249540623503,0.6455854316306411,0.7265754528835644,0.6386334885611687,1.1190335750579834,0.3676254451274872,35.214874267578125,11.889433860778809,0.315001517534256,0.028119320049881935
M,fold5,0.7265521515869695,0.7764702166612862,0.6940634184555323,0.6148054914020585,0.7243112186820458,0.6631846441936742,0.9869095683097839,0.37236636877059937,30.685043334960938,12.678380012512207,0.3102363646030426,0.027547352015972137
S,fold5,0.7158435475138134,,,,,,1.1277928352355957,,,,,
R,fold5,0.7210993232654843,,,,,,1.0575953243677623,,,,,
X,fold5,0.6354096491592077,,,,,,1.0962753295898438,,,,,
S,fold5,0.6738225723530711,,,,,,0.9944521013372707,,,,,
S,fold5,,0.763953057543133,,,,,,0.37388068437576294,,,,
