Metric,Model,pH,Available.P
R2,MT,0.635±0.132,0.327±0.308
R2,ST,0.632±0.112,0.359±0.196
R2,RF,-40.115±8.615,-11281.692±6963.014
R2,SVR,-40.078±8.846,-2096.285±1217.058
R2,XGB,-40.002±8.371,-13221.966±8111.890
MSE,MT,0.157±0.073,4715.113±798.606
MSE,ST,0.157±0.062,4746.048±1094.611
MSE,RF,16.704±1.299,74618094.936±15665265.218
MSE,SVR,16.677±1.396,13696197.434±929720.433
MSE,XGB,16.670±1.222,86008011.200±19145265.686
