Metric,Model,CEC,soiltype
R2,MT,0.325±0.180,0.791±0.077
R2,ST,0.417±0.131,0.811±0.062
R2,RF,-589.149±103.481,0.784±0.041
R2,SVR,-526.062±133.262,0.706±0.040
R2,XGB,-600.392±95.552,0.784±0.077
MSE,MT,52.076±12.958,0.348±0.089
MSE,ST,45.389±11.581,0.353±0.054
MSE,RF,45150.290±1954.825,0.360±0.104
MSE,SVR,39917.390±4473.318,0.280±0.033
MSE,XGB,46109.669±2073.093,0.366±0.121
