index,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__MBNT15,d__Archaea;p__Halobacterota,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Deinococcota,d__Bacteria;__,d__Bacteria;p__RCP2-54,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__WPS-2,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__GAL15,d__Bacteria;p__Nitrospinota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Dependentiae,Unassigned;__,d__Bacteria;p__FCPU426,d__Bacteria;p__Zixibacteria,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__WS4,d__Bacteria;p__WS2,d__Bacteria;p__TX1A-33,d__Bacteria;p__TA06,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__WS1,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__LCP-89,d__Bacteria;p__Campylobacterota,d__Eukaryota;p__Phragmoplastophyta,d__Archaea;p__Aenigmarchaeota,d__Bacteria;p__WOR-1,d__Archaea;p__Micrarchaeota,d__Archaea;p__Altiarchaeota,d__Bacteria;p__Fusobacteriota,d__Archaea;__,d__Bacteria;p__DTB120,d__Eukaryota;__,d__Bacteria;p__Cloacimonadota,d__Bacteria;p__Acetothermia,d__Bacteria;p__Modulibacteria,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__PAUC34f,d__Bacteria;p__Firestonebacteria,d__Bacteria;p__NKB15,d__Eukaryota;p__Microsporidia,d__Archaea;p__Asgardarchaeota,d__Eukaryota;p__Cnidaria,d__Archaea;p__Iainarchaeota,d__Bacteria;p__uncultured,d__Archaea;p__Hadarchaeota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-AK-01_S31,8455.0,28175.0,1733.0,57080.0,44681.0,8150.0,38539.0,2452.0,3278.0,3733.0,14719.0,10851.0,5972.0,3861.0,1390.0,603.0,341.0,6199.0,0.0,3926.0,738.0,1407.0,15.0,437.0,1599.0,227.0,843.0,15.0,673.0,10.0,485.0,153.0,158.0,17.0,68.0,77.0,508.0,304.0,46.0,83.0,10.0,26.0,104.0,50.0,32.0,25.0,8.0,12.0,12.0,0.0,42.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-01,Hojo,011_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.81189,140.147256,7.9102,F2a2t1,F2a2t1
2020-Hojo-AK-02_S32,7163.0,15913.0,1061.0,32241.0,23328.0,2883.0,19554.0,922.0,4907.0,1808.0,4564.0,6965.0,4787.0,4375.0,1349.0,663.0,631.0,5045.0,0.0,2055.0,152.0,609.0,15.0,504.0,502.0,185.0,631.0,0.0,819.0,0.0,596.0,113.0,38.0,0.0,95.0,109.0,229.0,259.0,14.0,30.0,111.0,30.0,45.0,40.0,28.0,0.0,0.0,0.0,34.0,0.0,19.0,19.0,0.0,0.0,0.0,4.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2020-Hojo-AK-02,Hojo,012_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.730769,140.216625,7.90685,F2a1t1,F2a1t1
2020-Hojo-AK-03_S33,4751.0,13335.0,1252.0,35673.0,28052.0,3484.0,17947.0,508.0,2228.0,1340.0,7036.0,4761.0,2700.0,3121.0,964.0,670.0,391.0,2748.0,0.0,1586.0,616.0,731.0,183.0,248.0,766.0,171.0,174.0,0.0,393.0,0.0,182.0,58.0,45.0,6.0,47.0,38.0,199.0,299.0,32.0,30.0,24.0,6.0,44.0,68.0,74.0,4.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2020-Hojo-AK-03,Hojo,013_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.665921,140.179577,7.83579,F2a1t1,F2a2t1
2020-Hojo-AK-04_S34,4112.0,13954.0,757.0,22783.0,13901.0,2051.0,22598.0,542.0,707.0,1820.0,4268.0,4590.0,782.0,1398.0,187.0,349.0,129.0,1736.0,0.0,1008.0,193.0,654.0,706.0,159.0,547.0,37.0,255.0,0.0,128.0,0.0,138.0,0.0,5.0,0.0,0.0,26.0,134.0,62.0,8.0,28.0,49.0,12.0,60.0,17.0,29.0,30.0,5.0,0.0,0.0,3.0,19.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-04,Hojo,014_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.632269,140.150834,7.79188,F2a1t1,B1e3w1
2020-Hojo-AK-05_S35,4399.0,16062.0,1651.0,32879.0,37834.0,3947.0,19785.0,314.0,4630.0,1512.0,6264.0,5637.0,3929.0,4925.0,1197.0,836.0,486.0,4625.0,0.0,1750.0,378.0,821.0,63.0,469.0,616.0,219.0,212.0,0.0,616.0,0.0,453.0,29.0,6.0,0.0,24.0,138.0,217.0,316.0,28.0,27.0,54.0,40.0,42.0,47.0,56.0,0.0,0.0,13.0,13.0,4.0,9.0,0.0,0.0,15.0,0.0,4.0,10.0,10.0,7.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-05,Hojo,015_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.610829,140.145918,7.77381,B1e3w1,F2h3t1
2020-Hojo-AK-06_S36,6672.0,21880.0,1421.0,40768.0,23087.0,4118.0,25609.0,1552.0,4993.0,2626.0,6750.0,8607.0,3158.0,4030.0,1283.0,641.0,671.0,4873.0,0.0,2700.0,242.0,481.0,16.0,718.0,516.0,150.0,1057.0,0.0,554.0,12.0,688.0,312.0,58.0,0.0,98.0,139.0,260.0,455.0,17.0,88.0,57.0,56.0,68.0,54.0,19.0,25.0,0.0,0.0,14.0,3.0,0.0,10.0,0.0,3.0,0.0,10.0,0.0,6.0,12.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-06,Hojo,016_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.672831,140.224332,7.87353,F3a7t1,F3a7t1
2020-Hojo-AK-07_S37,540.0,5561.0,71.0,5369.0,2434.0,600.0,3355.0,20.0,90.0,677.0,702.0,866.0,256.0,213.0,0.0,5.0,9.0,408.0,0.0,90.0,58.0,23.0,79.0,5.0,126.0,16.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-07,Hojo,017_20_Akit_Soyb,20.0,Akit,Soyb,2020/10/14,39.80485,140.079398,7.85529,F2a1t1,F2a1t1
2020-Hojo-AK-08_S38,2408.0,33919.0,828.0,31984.0,23481.0,3313.0,18801.0,143.0,659.0,3397.0,7796.0,4800.0,1629.0,801.0,215.0,409.0,164.0,1748.0,0.0,1083.0,241.0,381.0,743.0,33.0,987.0,98.0,82.0,0.0,84.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,126.0,55.0,28.0,0.0,7.0,3.0,12.0,9.0,17.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-08,Hojo,018_20_Akit_Soyb,20.0,Akit,Soyb,2020/10/14,39.645386,140.117779,7.77628,F2a1t1,F2a1t1
2020-Hojo-AK-09_S39,4075.0,43547.0,452.0,39662.0,19337.0,4293.0,19109.0,101.0,574.0,6475.0,6292.0,7280.0,1598.0,880.0,27.0,103.0,32.0,5353.0,12.0,988.0,102.0,728.0,240.0,20.0,1169.0,31.0,676.0,0.0,0.0,10.0,415.0,8.0,0.0,0.0,0.0,0.0,76.0,107.0,28.0,0.0,0.0,0.0,25.0,0.0,46.0,0.0,9.0,0.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2020-Hojo-AK-09,Hojo,019_20_Akit_Soyb,20.0,Akit,Soyb,2020/10/14,39.594345,140.167738,7.77884,B1e3w1,B1e3w1
2020-Hojo-AK-10_S40,1995.0,23502.0,893.0,23128.0,22837.0,1521.0,15046.0,211.0,299.0,1852.0,4813.0,2608.0,298.0,377.0,0.0,86.0,32.0,602.0,0.0,869.0,132.0,289.0,1432.0,24.0,730.0,19.0,66.0,9.0,16.0,0.0,34.0,7.0,0.0,83.0,0.0,0.0,11.0,17.0,6.0,20.0,0.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-AK-10,Hojo,020_20_Akit_Soyb,20.0,Akit,Soyb,2020/10/14,39.616431,140.151141,7.78144,F2e6t1,F2e6t1
