index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-H-68_S48,107896.0,705.0,12.0,2.0,2020-Hojo-H-68,Hojo,098_20_Hyog_Rice,20.0,Hyog,Rice,2020/10/26,35.074066,135.270513,1.11447,F2a2t1,F2a2t1
2020-Hojo-H-69_S49,101648.0,1012.0,8.0,6.0,2020-Hojo-H-69,Hojo,099_20_Hyog_Rice,20.0,Hyog,Rice,2020/10/26,35.072978,135.270342,1.11361,F1z1p2,F1z1p2
2020-Hojo-H-70_S50,147853.0,1372.0,37.0,9.0,2020-Hojo-H-70,Hojo,100_20_Hyog_Rice,20.0,Hyog,Rice,2020/10/26,35.072741,135.275029,1.11691,F1z1p2,F5z1p2
2020-Hojo-M-01_S51,165881.0,3058.0,59.0,0.0,2020-Hojo-M-01,Hojo,121_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.04075,130.78232,-4.24616,D6c1v2,D6c1v2
2020-Hojo-M-02_S52,160875.0,2743.0,36.0,0.0,2020-Hojo-M-02,Hojo,122_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.05298,130.77767,-4.24136,F1z1p2,F1z1p2
2020-Hojo-M-03_S53,164729.0,2020.0,32.0,0.0,2020-Hojo-M-03,Hojo,123_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.05065,130.78297,-4.23901,D6z1v3,D6z1v3
2020-Hojo-M-04_S54,149513.0,1466.0,41.0,3.0,2020-Hojo-M-04,Hojo,124_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.0581,130.77705,-4.23837,F1z1p2,F1z1p2
2020-Hojo-M-05_S55,164966.0,3248.0,37.0,2.0,2020-Hojo-M-05,Hojo,125_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.0507,130.78242,-4.23939,F3z1t4,D6z1v3
2020-Hojo-M-06_S56,126264.0,2091.0,11.0,0.0,2020-Hojo-M-06,Hojo,126_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.05023,130.78207,-4.23996,F3z1t4,D6z1v3
2020-Hojo-M-07_S57,190726.0,4545.0,42.0,7.0,2020-Hojo-M-07,Hojo,127_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.04976,130.78187,-4.24043,F3z1t4,D6z1v3
2020-Hojo-M-08_S58,143826.0,2547.0,36.0,5.0,2020-Hojo-M-08,Hojo,128_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.0474,130.78339,-4.24089,F3z1t4,D6h1v3
2020-Hojo-M-09_S59,195635.0,4109.0,26.0,7.0,2020-Hojo-M-09,Hojo,129_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.04777,130.78433,-4.23995,F3z1t4,D6z1v3
2020-Hojo-M-10_S60,167033.0,2735.0,35.0,7.0,2020-Hojo-M-10,Hojo,130_20_Miyz_Spin,20.0,Miyz,Spin,2020/8/31,32.05103,130.78223,-4.2393,F3z1t4,D6z1v3
2020-Hojo-N-01_S11,353219.0,6527.0,64.0,0.0,2020-Hojo-N-01,Hojo,021_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.14961,138.849785,5.15818,H1z1p1,H1z1p2
2020-Hojo-N-02_S12,206330.0,1714.0,22.0,0.0,2020-Hojo-N-02,Hojo,022_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.152747,138.845886,5.15741,H1z1p1,NA
2020-Hojo-N-03_S13,49717.0,667.0,12.0,0.0,2020-Hojo-N-03,Hojo,023_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.154517,138.84661,5.15914,H1z1p1,NA
2020-Hojo-N-04_S14,158192.0,1220.0,32.0,0.0,2020-Hojo-N-04,Hojo,024_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.164272,138.732878,5.08163,D5c1y1,D5c1y1
2020-Hojo-N-05_S15,124957.0,1143.0,26.0,0.0,2020-Hojo-N-05,Hojo,025_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.164741,138.732893,5.08196,D5c1y1,D5c1y1
2020-Hojo-N-06_S16,156731.0,1773.0,19.0,0.0,2020-Hojo-N-06,Hojo,026_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.11299,138.735671,5.04916,D3z1x4,D3z1x4
2020-Hojo-N-07_S17,90053.0,1108.0,9.0,0.0,2020-Hojo-N-07,Hojo,027_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.11299,138.735671,5.04916,D3z1x4,D3z1x4
2020-Hojo-N-08_S18,96830.0,1109.0,4.0,2.0,2020-Hojo-N-08,Hojo,028_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.11299,138.735671,5.04916,D3z1x4,D3z1x4
2020-Hojo-N-09_S19,114903.0,1251.0,13.0,0.0,2020-Hojo-N-09,Hojo,029_20_Niig_Rice,20.0,Niig,Rice,2020/10/6,37.11299,138.735671,5.04916,D3z1x4,D3z1x4
