sampleID,sampleID.original,pH,pH.score
909,QSS341,6.163,95.0528532
910,QSS342,5.978,79.07685715
911,QSS343,5.616,20.14751816
912,QSS344,6.009,82.89438737
913,QSS345,6.029,85.10411289
914,QSS346,6.644,100
915,QSS347,5.986,80.10714494
916,QSS348,5.906,68.50324439
917,QSS349,6.395,100
918,QSS350,6.074,89.3517643
919,QSS351,6.184,95.9547111
920,QSS352,5.944,74.36197737
921,QSS353,5.679,29.11596868
922,QSS354,6.142,93.99728185
923,QSS355,6.399,100
924,QSS356,6.229,97.44119405
925,QSS357,6.152,94.52007083
926,QSS358,5.979,79.20733502
927,QSS359,6.259,98.15271518
928,QSS360,6.126,93.080566
929,QSS361,6.394,100
930,QSS362,6.089,90.55156973
931,QSS363,6.202,96.61706132
932,QSS364,6.33,100
933,QSS365,6.347,100
934,QSS366,6.303,100
935,QSS367,6.045,86.72823902
936,QSS368,5.965,77.33726476
937,QSS369,6.192,96.26105569
938,QSS370,6.509,100
939,QSS371,6.256,98.09011659
940,QSS372,6.262,98.21355794
941,QSS373,6.091,90.70369548
942,QSS374,6.287,98.65730981
943,QSS375,6.373,100
944,QSS376,6.329,100
945,QSS377,6.025,84.67815936
946,QSS378,6.162,95.00619455
947,QSS379,6.322,100
948,QSS380,6.373,100
949,QSS381,6.327,100
950,QSS382,6.296,98.79190628
951,QSS383,6.073,89.2680333
952,QSS384,6.267,98.31116439
953,QRR224,7.061,100
954,QRR225,6.879,100
955,RR978,5.511,9.44843027
956,RR979,5.765,43.67986252
957,RR980,6.151,94.46946866
958,RR981,6.802,100
959,RR982,5.395,3.281744098
960,RR983,6.009,82.89438737
961,SS828,7.98,20.66266877
962,SS829,8,18.16510704
963,SS830,7.93,27.72906672
964,SS831,7.92,29.27204673
965,SS832,8.01,16.99038061
966,SS833,8,18.16510704
967,SS834,7.9,32.47181419
968,SS835,7.95,24.7676963
969,SS836,8.07,10.98600513
970,SS837,7.99,19.38938408
971,SS838,7.97,21.98419013
972,SS839,8.01,16.99038061
973,SS840,7.94,26.22697182
974,SS841,7.91,30.85375387
975,SS842,7.93,27.7
976,SS843,7.86,39.3
977,SS844,8.1,8.6
978,SS845,7.93,27.7
979,SS846,7.86,39.3
980,SS847,7.78,53.6
981,SS848,7.9,32.5
982,SS1062,6.66,100
983,SS1063,6.06,88.1
984,SS1064,6.58,100
985,SS1065,6.3,100
986,SS1066,7.9,32.47181419
987,SS1067,7.85,41.01058394
988,SS1068,7.88,35.80647844
989,SS1069,7.63,78.01580987
990,SS1070,7.91,30.85375387
991,SS1071,8,18.16510704
992,SS1072,6,81.83489296
993,SS1073,7.17,100
994,SS1098,6.18,95.79406526
995,SS1099,6.24,97.72498681
996,SS1100,6.71,100
997,SS1101,5.97,78.01580987
998,SS1102,6.16,94.91182475
542_repeat,QPP603,6.006,82.5
63_repeat,PP136,7.95,24.8
346_re,QPP106,6.922,100
789_re,RR1627,6.14,93.9
835_reextract,RR1673,6.1,91.4
873_reextract,SS328,7.02,100
930_re,QSS362,6.089,90.6
981_reextract,SS848,7.9,32.5
