sampleID,sampleID.original,pH,pH.score
246,PP879,6.397,100
247,PP880,6.757,100
248,PP881,5.858,60.4
249,PP882,6.2,96.5
250,PP1482,6.666,100
251,PP1483,6.774,100
252,PP1484,6.705,100
253,PP1485,5.621,20.8
254,PP1486,6.514,100
255,PP1487,6.374,100
256,PP1488,6.464,100
257,PP1489,6.577,100
258,PP1490,6.221,97.2
259,PP1491,6.221,97.2
260,PP1492,6.328,100
261,PP1493,6.031,85.3
262,PP1494,6.066,88.7
263,PP1495,6.107,91.9
264,PP1496,6.322,100
265,PP1497,6.18,95.8
266,PP1498,6.252,98
267,PP1499,6.074,89.4
268,PP1500,6.239,97.7
269,PP1501,6.297,98.8
270,PP1502,6.054,87.6
271,PP1503,6.039,86.1
272,PP1504,5.974,78.6
273,PP1505,6.079,89.8
274,PP1506,6.086,90.3
275,PP1507,5.964,77.2
276,PP1508,5.968,77.7
277,PP1509,5.975,78.7
278,PP1510,6.061,88.2
279,PP1511,5.86,60.7
280,PP1512,6.205,96.7
281,PP1513,6.107,91.9
282,PP1514,5.994,81.1
283,PP1515,5.973,78.4
284,PP1516,5.865,61.6
285,PP1517,5.969,77.9
286,PP1518,6.021,84.2
287,PP1519,6.048,87
288,PP1520,6.014,83.5
289,PP1521,5.951,75.4
290,PP1522,6.041,86.3
291,PP1523,6.592,100
292,PP1524,5.674,28.3
293,PP1525,6.431,100
294,PP1526,6.345,100
295,PP1527,6.527,100
296,PP1528,6.564,100
297,PP1529,6.42,100
298,PP1530,6.362,100
299,PP1531,6.367,100
300,PP1532,6.558,100
301,PP1533,6.557,100
302,PP1534,6.534,100
303,PP1535,6.427,100
304,PP1536,6.41,100
305,PP1537,6.696,100
306,PP1538,6.674,100
307,PP1539,6.529,100
308,PP1540,6.65,100
309,PP1541,6.488,100
310,PP1542,6.681,100
311,PP1543,6.803,100
312,PP1544,6.566,100
313,PP1545,6.601,100
314,PP1546,6.571,100
315,PP1547,6.804,100
316,PP1548,6.721,100
317,PP1549,6.52,100
318,PP1550,6.58,100
319,PP1551,6.454,100
320,PP1552,6.15,94.4
321,PP1847,6.47,100
322,PP1848,6.228,97.4
323,PP1849,6.171,95.4
324,PP1850,6.225,97.3
325,PP1851,6.328,100
326,PP1852,6.169,95.3
327,PP1853,6.561,100
328,PP1854,6.686,100
329,PP1855,6.744,100
330,PP1856,6.679,100
331,PP1857,6.737,100
332,PP1858,6.829,100
333,PP1859,6.759,100
334,PP1860,6.471,100
335,PP1861,6.636,100
336,PP1862,6.629,100
337,PP1863,6.66,100
338,PP1864,6.606,100
339,PP1865,6.523,100
340,PP1866,6.573,100
341,PP1867,6.078,89.7
342,QPP102,6.862,100
343,QPP103,6.73,100
344,QPP104,6.847,100
345,QPP105,6.686,100
346,QPP106,6.922,100
347,QPP107,7.02,100
348,QPP108,6.241,97.7
349,QPP109,6.714,100
350,QPP110,6.409,100
351,QPP111,7.065,100
352,QPP112,6.53,100
353,QPP113,6.723,100
354,QPP155,7.556,86.6
355,QPP156,7.759,57.4
356,QPP157,7.445,94.7
357,QPP158,7.323,98.5
358,QPP191,5.705,33.3
359,QPP192,5.984,79.9
360,QPP193,6.002,82.1
361,QPP194,5.93,72.3
362,QPP195,6.296,98.8
363,QPP196,5.954,75.8
364,QPP251,6.857,100
365,QPP252,6.61,100
366,QPP253,6.726,100
367,QPP254,6.241,97.7
368,QPP255,6.129,93.3
369,QPP256,6.347,100
370,QPP257,6.368,100
371,QPP258,6.405,100
372,QPP262,5.079,0
373,QPP263,7.838,43.1
374,QPP264,7.433,95.2
375,QPP265,7.618,79.6
376,QPP266,6.128,93.2
377,QPP267,6.404,100
378,QPP268,7.808,48.5
379,QPP269,6.475,100
380,QPP291,5.612,19.6
381,QPP292,5.893,66.4
382,QPP372,7.378,97.2
383,QPP373,7.341,98.2
384,QPP374,6.822,100
385,QPP375,6.937,100
386,QPP376,7.226,100
387,QPP377,5.69,30.9
388,QPP378,5.487,7.7
389,QPP379,6.109,92
390,QPP380,5.56,13.8
391,QPP381,5.502,8.8
392,QPP382,5.381,2.8
393,QPP383,5.493,8.1
394,QPP384,5.638,23.1
395,QPP385,5.457,5.9
396,QPP386,5.552,13
397,QPP387,5.66,26.2
398,QPP388,5.635,22.7
399,QPP389,5.937,73.3
400,QPP390,5.873,63
401,QPP391,5.73,37.5
402,QPP392,5.75,41
403,QPP393,6.322,100
404,QPP394,6.274,98.4
405,QPP395,6.255,98.1
406,QPP396,6.311,100
407,QPP397,6.057,87.9
408,QPP398,6.071,89.1
409,QPP399,6.002,82.1
410,QPP400,6.099,91.3
411,QPP401,5.834,56.1
412,QPP402,5.924,71.3
413,QPP403,6.096,91.1
414,QPP404,6.152,94.5
415,QPP405,5.689,30.7
416,QPP406,6.23,97.5
417,QPP407,5.942,74.1
418,QPP408,5.516,9.8
419,QPP409,5.363,2.3
420,QPP410,5.511,9.4
421,QPP411,5.707,33.6
422,QPP412,6.108,91.9
423,QPP413,5.952,75.5
424,QPP414,5.791,48.4
425,QPP415,6.056,87.8
426,QPP416,5.793,48.7
427,QPP417,5.943,74.2
428,QPP418,6.043,86.5
429,QPP419,5.591,17.1
430,QPP420,5.685,30.1
431,QPP421,5.698,32.1
432,QPP422,5.384,2.9
433,QPP423,6.141,93.9
434,QPP424,5.658,25.9
435,QPP480,7.075,100
436,QPP481,7.142,100
437,QPP482,7.739,60.9
438,QPP483,7.33,98.4
439,QPP500,6.58,100
440,QPP501,6.718,100
441,QPP502,7.106,100
442,QPP503,6.804,100
443,QPP504,7.233,100
444,QPP505,7.109,100
445,QPP506,7.135,100
446,QPP507,7.204,100
447,QPP508,7.093,100
448,QPP509,6.981,100
449,QPP510,6.82,100
450,QPP511,6.944,100
451,QPP512,7.061,100
452,QPP513,7.156,100
453,QPP514,7.278,100
454,QPP515,6.83,100
455,QPP516,7.023,100
456,QPP517,7.218,100
457,QPP518,7.259,100
458,QPP519,7.1,100
459,QPP520,6.53,100
460,QPP521,7.373,97.4
461,QPP522,7.318,98.6
462,QPP523,7.181,100
463,QPP524,7.21,100
464,QPP525,6.398,100
465,QPP526,7.066,100
466,QPP527,6.989,100
467,QPP528,7.339,98.2
468,QPP529,6.852,100
469,QPP530,6.933,100
470,QPP531,6.824,100
471,QPP532,7.191,100
472,QPP533,6.9,100
473,QPP534,7.58,84.1
474,QPP535,6.729,100
475,QPP536,6.803,100
476,QPP537,7.081,100
477,QPP538,6.819,100
478,QPP539,7.05,100
479,QPP540,6.898,100
480,QPP541,7.021,100
481,QPP542,7.02,100
482,QPP543,6.913,100
483,QPP544,7.295,100
484,QPP545,7.112,100
485,QPP546,7.342,98.1
486,QPP547,7.189,100
487,QPP548,7.021,100
488,QPP549,7.01,100
489,QPP550,6.932,100
490,QPP551,7.089,100
491,QPP552,6.911,100
492,QPP553,6.848,100
493,QPP554,7.369,97.5
494,QPP555,7.088,100
495,QPP556,7.132,100
496,QPP557,7.497,91.6
497,QPP558,6.256,98.1
498,QPP559,6.311,100
499,QPP560,6.307,100
500,QPP561,6.359,100
501,QPP562,6.36,100
502,QPP563,6.171,95.4
503,QPP564,6.278,98.5
504,QPP565,6.374,100
505,QPP566,6.331,100
506,QPP567,6.433,100
507,QPP568,6.594,100
508,QPP569,6.526,100
509,QPP570,6.366,100
510,QPP571,6.328,100
511,QPP572,6.584,100
512,QPP573,6.29,98.7
513,QPP574,6.331,100
514,QPP575,6.15,94.4
515,QPP576,6.325,100
516,QPP577,6.092,90.8
517,QPP578,6.355,100
518,QPP579,6.072,89.2
519,QPP580,6.408,100
520,QPP581,6.122,92.8
521,QPP582,6.163,95.1
522,QPP583,6.021,84.2
523,QPP584,6.202,96.6
524,QPP585,6.718,100
525,QPP586,6.133,93.5
526,QPP587,5.95,75.2
527,QPP588,6.085,90.2
528,QPP589,6.09,90.6
529,QPP590,6.186,96
530,QPP591,6.511,100
531,QPP592,6.106,91.8
532,QPP593,6.246,97.9
533,QPP594,5.743,39.8
534,QPP595,6.146,94.2
535,QPP596,6.23,97.5
536,QPP597,6.414,100
537,QPP598,6.304,100
538,QPP599,6.492,100
539,QPP600,6.418,100
540,QPP601,6.518,100
541,QPP602,6.232,97.5
542,QPP603,6.006,82.5
543,QPP604,6.417,100
544,QPP605,6.343,100
545,QPP606,6.504,100
546,QPP607,6.32,100
547,QPP608,6.071,89.1
548,QPP609,6.246,97.9
549,QPP610,6.239,97.7
550,QPP611,6.285,98.6
551,QPP675,7.278,100
552,QPP676,7.045,100
553,QPP677,7.241,100
554,QPP678,7.077,100
555,QPP679,6.505,100
556,QPP680,5.699,32.3
557,QPP681,5.569,14.7
558,QPP682,5.805,50.9
559,QPP683,6.569,100
560,QPP684,6.607,100
561,QRR166,6.12,92.7
562,QRR167,6.257,98.1
563,QRR168,6.036,85.8
564,QRR169,6.069,88.9
565,QRR170,6.231,97.5
566,QRR171,6.24,97.7
567,QRR172,6.106,91.8
568,QRR173,6.072,89.2
569,QRR174,5.971,78.2
570,QRR175,6.539,100
571,QRR176,6.314,100
572,QRR177,6.208,96.8
573,QRR178,6.362,100
574,QRR179,5.932,72.6
575,QRR180,6.236,97.6
576,QRR181,6.219,97.2
577,QRR182,6.14,93.9
578,QRR183,6.184,96
579,QRR184,6.244,97.8
580,QRR185,6.365,100
581,QRR186,6.454,100
582,QRR187,6.279,98.5
583,QRR188,6.168,95.3
584,QRR189,6.017,83.8
585,QRR190,6.377,100
586,QRR191,6.207,96.8
587,QRR192,6.349,100
588,QRR193,6.566,100
589,QRR194,6.089,90.6
590,QRR195,6.263,98.2
591,QRR196,6.145,94.2
592,QRR197,6.108,91.9
593,QRR198,5.876,63.5
594,QRR199,6.455,100
