comboID,other_sampleID,treatment,treatment2,bedrock,soil_elevalleyation,rep,experiment,time,Latitude,Longitude,organic_matter,CO2.respiration,basal.respiration,induced.respiration,pH,potassium,nitrogen,yield.fresh.wt,yield.dry.wt,compaction,penetrability,sampling.date,description,biome,location,BioProject,SampleID,BioSample,SRA_Study,Experiment,SRA_Sample,MBases
PRJEB9654_ERR952632,MNP2-4.2013,full-grazed,no phosphorus,calcareous,high mountain,4,PRJEB9654,2013,519702,4765900,6.75,1.99,1.01,18,4.93,171,0.45,0.98,2.446068,2948,7,2013-08-29,MNP2-4.2013,grassland,Spain,PRJEB9654,ERR952632,SAMEA3474354,ERP010785,ERX1031602,ERS785630,109
PRJEB9654_ERR952633,MNP2-4.2014,full-grazed,no phosphorus,calcareous,high mountain,4,PRJEB9654,2014,519702,4765900,6.9,1.99,1.51,27,4.76,78,0.48,2.74,9.163718,3554,15,2014-09-17,MNP2-4.2014,grassland,Spain,PRJEB9654,ERR952633,SAMEA3474146,ERP010785,ERX1031603,ERS785422,48
PRJEB9654_ERR952634,MNP3-1.2013,full-grazed,no phosphorus,siliceous,high mountain,1,PRJEB9654,2013,512260,4766768,16.13,5.88,0.71,29,3.92,186,0.9,1.48,6.432,1646,14,2013-05-06,MNP3-1.2013,grassland,Spain,PRJEB9654,ERR952634,SAMEA3474159,ERP010785,ERX1031604,ERS785435,99
PRJEB9654_ERR952635,MNP3-1.2013,full-grazed,no phosphorus,siliceous,high mountain,1,PRJEB9654,2013,512260,4766768,16.13,5.88,0.71,29,3.92,186,0.9,1.48,6.432,1646,14,2013-05-06,MNP3-1.2013,grassland,Spain,PRJEB9654,ERR952635,SAMEA3474368,ERP010785,ERX1031605,ERS785644,104
PRJEB9654_ERR952636,MNP3-1.2014,full-grazed,no phosphorus,siliceous,high mountain,1,PRJEB9654,2014,512260,4766768,16.21,5.88,1.52,33,4.12,110,0.63,2.37,7.115685,2234,15,2014-09-03,MNP3-1.2014,grassland,Spain,PRJEB9654,ERR952636,SAMEA3474160,ERP010785,ERX1031606,ERS785436,101
PRJEB9654_ERR952637,MNP3-2.2013,full-grazed,no phosphorus,siliceous,high mountain,2,PRJEB9654,2013,512270,4766759,12.56,6.5,0.91,33,4.1,202,0.78,0.87,3.328,1724,17,2013-05-06,MNP3-2.2013,grassland,Spain,PRJEB9654,ERR952637,SAMEA3474161,ERP010785,ERX1031607,ERS785437,84
PRJEB9654_ERR952638,MNP3-2.2013,full-grazed,no phosphorus,siliceous,high mountain,2,PRJEB9654,2013,512270,4766759,12.56,6.5,0.91,33,4.1,202,0.78,0.87,3.328,1724,17,2013-05-06,MNP3-2.2013,grassland,Spain,PRJEB9654,ERR952638,SAMEA3474370,ERP010785,ERX1031608,ERS785646,96
PRJEB9654_ERR952639,MNP3-2.2014,full-grazed,no phosphorus,siliceous,high mountain,2,PRJEB9654,2014,512270,4766759,18.71,6.5,1.48,32,4.45,105,0.75,1.1,4.03833,1692,15,2014-09-03,MNP3-2.2014,grassland,Spain,PRJEB9654,ERR952639,SAMEA3474162,ERP010785,ERX1031609,ERS785438,104
PRJEB9654_ERR952640,MNP3-3.2013,full-grazed,no phosphorus,siliceous,high mountain,3,PRJEB9654,2013,512114,4766810,11.87,9.65,0.85,36,4.05,128,0.57,0.58,2.196,2140,25,2013-05-06,MNP3-3.2013,grassland,Spain,PRJEB9654,ERR952640,SAMEA3474163,ERP010785,ERX1031610,ERS785439,112
PRJEB9654_ERR952641,MNP3-3.2013,full-grazed,no phosphorus,siliceous,high mountain,3,PRJEB9654,2013,512114,4766810,11.87,9.65,0.85,36,4.05,128,0.57,0.58,2.196,2140,25,2013-05-06,MNP3-3.2013,grassland,Spain,PRJEB9654,ERR952641,SAMEA3474372,ERP010785,ERX1031611,ERS785648,121
PRJEB9654_ERR952642,MNP3-3.2014,full-grazed,no phosphorus,siliceous,high mountain,3,PRJEB9654,2014,512114,4766810,16.1,9.65,1.44,19,4.03,93,0.44,1.99,5.799044,2093,15,2014-09-03,MNP3-3.2014,grassland,Spain,PRJEB9654,ERR952642,SAMEA3474164,ERP010785,ERX1031612,ERS785440,113
PRJEB9654_ERR952643,MNP3-3.2014,full-grazed,no phosphorus,siliceous,high mountain,3,PRJEB9654,2014,512114,4766810,16.1,9.65,1.44,19,4.03,93,0.44,1.99,5.799044,2093,15,2014-09-03,MNP3-3.2014,grassland,Spain,PRJEB9654,ERR952643,SAMEA3474373,ERP010785,ERX1031613,ERS785649,97
PRJEB9654_ERR952644,MNP3-4.2014,full-grazed,no phosphorus,siliceous,high mountain,4,PRJEB9654,2014,512087,4766811,16.18,3.97,1.9,22,4.14,93,0.6,1.84,6.872884,1838,15,2014-09-03,MNP3-4.2014,grassland,Spain,PRJEB9654,ERR952644,SAMEA3474165,ERP010785,ERX1031614,ERS785441,101
PRJEB9654_ERR952645,MNP3-4.2014,full-grazed,no phosphorus,siliceous,high mountain,4,PRJEB9654,2014,512087,4766811,16.18,3.97,1.9,22,4.14,93,0.6,1.84,6.872884,1838,15,2014-09-03,MNP3-4.2014,grassland,Spain,PRJEB9654,ERR952645,SAMEA3474374,ERP010785,ERX1031615,ERS785650,88
PRJEB9654_ERR952646,MP1-1.2013,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2013,511475,4766900,31.02,7.91,1.38,28,4.06,224,1.1,1.34,4.872,2265,10,2013-05-13,MP1-1.2013,grassland,Spain,PRJEB9654,ERR952646,SAMEA3474131,ERP010785,ERX1031616,ERS785407,104
PRJEB9654_ERR952647,MP1-1.2013,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2013,511475,4766900,31.02,7.91,1.38,28,4.06,224,1.1,1.34,4.872,2265,10,2013-05-13,MP1-1.2013,grassland,Spain,PRJEB9654,ERR952647,SAMEA3474340,ERP010785,ERX1031617,ERS785616,97
PRJEB9654_ERR952648,MP1-1.2014,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2014,511475,4766900,26.98,7.91,0.71,30,3.99,177,1.2,1.1,5.470783,2180,15,2014-10-06,MP1-1.2014,grassland,Spain,PRJEB9654,ERR952648,SAMEA3474132,ERP010785,ERX1031618,ERS785408,123
PRJEB9654_ERR952649,MP1-2.2013,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2013,511523,4766891,37.89,10.21,1.48,39,4.04,297,1.35,1.48,4.848,2152,18,2013-05-13,MP1-2.2013,grassland,Spain,PRJEB9654,ERR952649,SAMEA3474133,ERP010785,ERX1031619,ERS785409,109
PRJEB9654_ERR952650,MP1-2.2013,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2013,511523,4766891,37.89,10.21,1.48,39,4.04,297,1.35,1.48,4.848,2152,18,2013-05-13,MP1-2.2013,grassland,Spain,PRJEB9654,ERR952650,SAMEA3474342,ERP010785,ERX1031620,ERS785618,109
PRJEB9654_ERR952651,MP1-2.2014,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2014,511523,4766891,30.79,10.21,0.79,38,4.03,280,1.34,2.18,8.070044,2201,20,2014-10-06,MP1-2.2014,grassland,Spain,PRJEB9654,ERR952651,SAMEA3474134,ERP010785,ERX1031621,ERS785410,88
PRJEB9654_ERR952652,MP1-3.2013,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2013,511495,4766909,44.62,11.21,1.18,44,3.8,296,1.52,1.3,4.192,1375,14,2013-05-13,MP1-3.2013,grassland,Spain,PRJEB9654,ERR952652,SAMEA3474135,ERP010785,ERX1031622,ERS785411,81
PRJEB9654_ERR952653,MP1-3.2013,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2013,511495,4766909,44.62,11.21,1.18,44,3.8,296,1.52,1.3,4.192,1375,14,2013-05-13,MP1-3.2013,grassland,Spain,PRJEB9654,ERR952653,SAMEA3474344,ERP010785,ERX1031623,ERS785620,98
PRJEB9654_ERR952654,MP1-3.2014,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2014,511495,4766909,30.12,11.21,0.64,37,3.9,189,0.77,2,7.770151,2108,15,2014-10-06,MP1-3.2014,grassland,Spain,PRJEB9654,ERR952654,SAMEA3474136,ERP010785,ERX1031624,ERS785412,91
PRJEB9654_ERR952655,MP1-4.2013,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2013,511544,4766875,34.5,7.66,0.85,37,4.09,228,1.13,1.13,3.716,2032,25,2013-05-13,MP1-4.2013,grassland,Spain,PRJEB9654,ERR952655,SAMEA3474137,ERP010785,ERX1031625,ERS785413,112
PRJEB9654_ERR952656,MP1-4.2013,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2013,511544,4766875,34.5,7.66,0.85,37,4.09,228,1.13,1.13,3.716,2032,25,2013-05-13,MP1-4.2013,grassland,Spain,PRJEB9654,ERR952656,SAMEA3474346,ERP010785,ERX1031626,ERS785622,122
PRJEB9654_ERR952657,MP1-4.2014,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2014,511544,4766875,31.74,7.66,0.56,34,3.94,312,1.22,2.86,11.605006,2396,15,2014-10-06,MP1-4.2014,grassland,Spain,PRJEB9654,ERR952657,SAMEA3474138,ERP010785,ERX1031627,ERS785414,92
PRJEB9654_ERR952658,MP2-1.2013,full-grazed,phosphorus,calcareous,high mountain,1,PRJEB9654,2013,519676,4765992,6.9,1.7,1.15,21,4.77,133,0.55,1.41,3.915333,2846,10,2013-08-29,MP2-1.2013,grassland,Spain,PRJEB9654,ERR952658,SAMEA3474151,ERP010785,ERX1031628,ERS785427,104
PRJEB9654_ERR952659,MP2-1.2013,full-grazed,phosphorus,calcareous,high mountain,1,PRJEB9654,2013,519676,4765992,6.9,1.7,1.15,21,4.77,133,0.55,1.41,3.915333,2846,10,2013-08-29,MP2-1.2013,grassland,Spain,PRJEB9654,ERR952659,SAMEA3474360,ERP010785,ERX1031629,ERS785636,118
PRJEB9654_ERR952660,MP2-1.2014,full-grazed,phosphorus,calcareous,high mountain,1,PRJEB9654,2014,519676,4765992,6.06,1.7,1.15,16,5.3,45,0.45,1.93,7.297276,2623,20,2014-10-02,MP2-1.2014,grassland,Spain,PRJEB9654,ERR952660,SAMEA3474152,ERP010785,ERX1031630,ERS785428,89
PRJEB9654_ERR952661,MP2-1.2014,full-grazed,phosphorus,calcareous,high mountain,1,PRJEB9654,2014,519676,4765992,6.06,1.7,1.15,16,5.3,45,0.45,1.93,7.297276,2623,20,2014-10-02,MP2-1.2014,grassland,Spain,PRJEB9654,ERR952661,SAMEA3474361,ERP010785,ERX1031631,ERS785637,98
PRJEB9654_ERR952662,MP2-2.2013,full-grazed,phosphorus,calcareous,high mountain,2,PRJEB9654,2013,519665,4766018,7.29,2.22,1.92,20,4.65,149,0.53,1.21,3.087193,2306,9,2013-08-29,MP2-2.2013,grassland,Spain,PRJEB9654,ERR952662,SAMEA3474153,ERP010785,ERX1031632,ERS785429,101
PRJEB9654_ERR952663,MP2-2.2013,full-grazed,phosphorus,calcareous,high mountain,2,PRJEB9654,2013,519665,4766018,7.29,2.22,1.92,20,4.65,149,0.53,1.21,3.087193,2306,9,2013-08-29,MP2-2.2013,grassland,Spain,PRJEB9654,ERR952663,SAMEA3474362,ERP010785,ERX1031633,ERS785638,111
PRJEB9654_ERR952664,MP2-2.2014,full-grazed,phosphorus,calcareous,high mountain,2,PRJEB9654,2014,519665,4766018,7.2,2.22,1.92,13,4.77,74,0.45,4.12,13.955737,2670,20,2014-10-02,MP2-2.2014,grassland,Spain,PRJEB9654,ERR952664,SAMEA3474154,ERP010785,ERX1031634,ERS785430,26
PRJEB9654_ERR952665,MP2-2.2014,full-grazed,phosphorus,calcareous,high mountain,2,PRJEB9654,2014,519665,4766018,7.2,2.22,1.92,13,4.77,74,0.45,4.12,13.955737,2670,20,2014-10-02,MP2-2.2014,grassland,Spain,PRJEB9654,ERR952665,SAMEA3474363,ERP010785,ERX1031635,ERS785639,93
PRJEB9654_ERR952666,MP2-3.2013,full-grazed,phosphorus,calcareous,high mountain,3,PRJEB9654,2013,519684,4766026,11.36,2.52,1.17,20,4.48,128,0.68,2.38,6.172176,3903,11,2013-08-29,MP2-3.2013,grassland,Spain,PRJEB9654,ERR952666,SAMEA3474155,ERP010785,ERX1031636,ERS785431,70
PRJEB9654_ERR952667,MP2-3.2013,full-grazed,phosphorus,calcareous,high mountain,3,PRJEB9654,2013,519684,4766026,11.36,2.52,1.17,20,4.48,128,0.68,2.38,6.172176,3903,11,2013-08-29,MP2-3.2013,grassland,Spain,PRJEB9654,ERR952667,SAMEA3474364,ERP010785,ERX1031637,ERS785640,108
PRJEB9654_ERR952668,MP2-3.2014,full-grazed,phosphorus,calcareous,high mountain,3,PRJEB9654,2014,519684,4766026,9.5,2.52,1.17,14,4.63,96,0.52,3.21,10.33831,3152,15,2014-10-02,MP2-3.2014,grassland,Spain,PRJEB9654,ERR952668,SAMEA3474156,ERP010785,ERX1031638,ERS785432,90
PRJEB9654_ERR952669,MP2-3.2014,full-grazed,phosphorus,calcareous,high mountain,3,PRJEB9654,2014,519684,4766026,9.5,2.52,1.17,14,4.63,96,0.52,3.21,10.33831,3152,15,2014-10-02,MP2-3.2014,grassland,Spain,PRJEB9654,ERR952669,SAMEA3474365,ERP010785,ERX1031639,ERS785641,87
PRJEB9654_ERR952670,MP2-4.2013,full-grazed,phosphorus,calcareous,high mountain,4,PRJEB9654,2013,519698,4766018,7.27,1.98,0.8,16,4.58,110,0.5,0.79,2.026924,2761,7,2013-08-29,MP2-4.2013,grassland,Spain,PRJEB9654,ERR952670,SAMEA3474157,ERP010785,ERX1031640,ERS785433,88
PRJEB9654_ERR952671,MP2-4.2013,full-grazed,phosphorus,calcareous,high mountain,4,PRJEB9654,2013,519698,4766018,7.27,1.98,0.8,16,4.58,110,0.5,0.79,2.026924,2761,7,2013-08-29,MP2-4.2013,grassland,Spain,PRJEB9654,ERR952671,SAMEA3474366,ERP010785,ERX1031641,ERS785642,108
PRJEB9654_ERR952672,MP2-4.2014,full-grazed,phosphorus,calcareous,high mountain,4,PRJEB9654,2014,519698,4766018,7.69,1.98,0.8,18,4.76,66,0.47,1.62,6.556471,3225,10,2014-10-02,MP2-4.2014,grassland,Spain,PRJEB9654,ERR952672,SAMEA3474158,ERP010785,ERX1031642,ERS785434,34
PRJEB9654_ERR952673,MP2-4.2014,full-grazed,phosphorus,calcareous,high mountain,4,PRJEB9654,2014,519698,4766018,7.69,1.98,0.8,18,4.76,66,0.47,1.62,6.556471,3225,10,2014-10-02,MP2-4.2014,grassland,Spain,PRJEB9654,ERR952673,SAMEA3474367,ERP010785,ERX1031643,ERS785643,71
PRJEB9654_ERR952674,MP3-1.2013,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2013,512216,4766780,10.07,5.71,0.43,26,3.87,138,0.57,1.18,4.824,1591,15,2013-05-06,MP3-1.2013,grassland,Spain,PRJEB9654,ERR952674,SAMEA3474166,ERP010785,ERX1031644,ERS785442,72
PRJEB9654_ERR952675,MP3-1.2013,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2013,512216,4766780,10.07,5.71,0.43,26,3.87,138,0.57,1.18,4.824,1591,15,2013-05-06,MP3-1.2013,grassland,Spain,PRJEB9654,ERR952675,SAMEA3474375,ERP010785,ERX1031645,ERS785651,129
PRJEB9654_ERR952676,MP3-1.2014,full-grazed,phosphorus,siliceous,high mountain,1,PRJEB9654,2014,512216,4766780,11.29,5.71,1.49,26,4.24,76,0.37,0.89,5.367294,2021,15,2014-09-03,MP3-1.2014,grassland,Spain,PRJEB9654,ERR952676,SAMEA3474167,ERP010785,ERX1031646,ERS785443,112
PRJEB9654_ERR952677,MP3-2.2013,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2013,512224,4766790,17.37,6.06,1,28,3.73,135,0.54,2.18,6.524,2007,15,2013-05-06,MP3-2.2013,grassland,Spain,PRJEB9654,ERR952677,SAMEA3474168,ERP010785,ERX1031647,ERS785444,79
PRJEB9654_ERR952678,MP3-2.2013,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2013,512224,4766790,17.37,6.06,1,28,3.73,135,0.54,2.18,6.524,2007,15,2013-05-06,MP3-2.2013,grassland,Spain,PRJEB9654,ERR952678,SAMEA3474377,ERP010785,ERX1031648,ERS785653,85
PRJEB9654_ERR952679,MP3-2.2014,full-grazed,phosphorus,siliceous,high mountain,2,PRJEB9654,2014,512224,4766790,14.59,6.06,1.72,24,4.07,90,0.44,1.42,7.892737,1920,10,2014-09-03,MP3-2.2014,grassland,Spain,PRJEB9654,ERR952679,SAMEA3474169,ERP010785,ERX1031649,ERS785445,89
PRJEB9654_ERR952680,MP3-3.2013,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2013,512185,4766791,14.68,8.28,1.06,33,3.95,133,0.8,1.82,4.792,2774,13,2013-05-06,MP3-3.2013,grassland,Spain,PRJEB9654,ERR952680,SAMEA3474170,ERP010785,ERX1031650,ERS785446,86
PRJEB9654_ERR952681,MP3-3.2013,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2013,512185,4766791,14.68,8.28,1.06,33,3.95,133,0.8,1.82,4.792,2774,13,2013-05-06,MP3-3.2013,grassland,Spain,PRJEB9654,ERR952681,SAMEA3474379,ERP010785,ERX1031651,ERS785655,100
PRJEB9654_ERR952682,MP3-3.2014,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2014,512185,4766791,15.41,8.28,2.06,27,4.08,81,0.54,1.32,6.878033,2105,15,2014-09-03,MP3-3.2014,grassland,Spain,PRJEB9654,ERR952682,SAMEA3474171,ERP010785,ERX1031652,ERS785447,106
PRJEB9654_ERR952683,MP3-3.2014,full-grazed,phosphorus,siliceous,high mountain,3,PRJEB9654,2014,512185,4766791,15.41,8.28,2.06,27,4.08,81,0.54,1.32,6.878033,2105,15,2014-09-03,MP3-3.2014,grassland,Spain,PRJEB9654,ERR952683,SAMEA3474380,ERP010785,ERX1031653,ERS785656,133
PRJEB9654_ERR952684,MP3-4.2013,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2013,512166,4766808,18.1,12.72,0.69,62,3.86,213,0.76,1.75,4.536,1761,11,2013-05-06,MP3-4.2013,grassland,Spain,PRJEB9654,ERR952684,SAMEA3474172,ERP010785,ERX1031654,ERS785448,103
PRJEB9654_ERR952685,MP3-4.2013,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2013,512166,4766808,18.1,12.72,0.69,62,3.86,213,0.76,1.75,4.536,1761,11,2013-05-06,MP3-4.2013,grassland,Spain,PRJEB9654,ERR952685,SAMEA3474381,ERP010785,ERX1031655,ERS785657,111
PRJEB9654_ERR952686,MP3-4.2014,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2014,512166,4766808,15.09,12.72,1.7,27,4.18,71,0.61,1.09,6.357735,2043,10,2014-09-03,MP3-4.2014,grassland,Spain,PRJEB9654,ERR952686,SAMEA3474173,ERP010785,ERX1031656,ERS785449,87
PRJEB9654_ERR952687,MP3-4.2014,full-grazed,phosphorus,siliceous,high mountain,4,PRJEB9654,2014,512166,4766808,15.09,12.72,1.7,27,4.18,71,0.61,1.09,6.357735,2043,10,2014-09-03,MP3-4.2014,grassland,Spain,PRJEB9654,ERR952687,SAMEA3474382,ERP010785,ERX1031657,ERS785658,90
PRJEB9654_ERR952688,VE1-1.2013,full-grazed,limed,siliceous,valley,1,PRJEB9654,2013,521179,4768546,7.73,3.38,2.35,36,6.09,169,0.6,2.82,9.007477,1520,25,2013-07-02,VE1-1.2013,grassland,Spain,PRJEB9654,ERR952688,SAMEA3474198,ERP010785,ERX1031658,ERS785474,72
PRJEB9654_ERR952689,VE1-1.2013,full-grazed,limed,siliceous,valley,1,PRJEB9654,2013,521179,4768546,7.73,3.38,2.35,36,6.09,169,0.6,2.82,9.007477,1520,25,2013-07-02,VE1-1.2013,grassland,Spain,PRJEB9654,ERR952689,SAMEA3474407,ERP010785,ERX1031659,ERS785683,99
PRJEB9654_ERR952690,VE1-1.2014,full-grazed,limed,siliceous,valley,1,PRJEB9654,2014,521179,4768546,6.53,3.38,2.28,25,6.35,436,0.53,5.07,14.698525,1520,15,2014-06-24,VE1-1.2014,grassland,Spain,PRJEB9654,ERR952690,SAMEA3474199,ERP010785,ERX1031660,ERS785475,59
PRJEB9654_ERR952691,VE1-1.2014,full-grazed,limed,siliceous,valley,1,PRJEB9654,2014,521179,4768546,6.53,3.38,2.28,25,6.35,436,0.53,5.07,14.698525,1520,15,2014-06-24,VE1-1.2014,grassland,Spain,PRJEB9654,ERR952691,SAMEA3474408,ERP010785,ERX1031661,ERS785684,52
PRJEB9654_ERR952692,VE1-2.2013,full-grazed,limed,siliceous,valley,2,PRJEB9654,2013,521233,4768527,5.88,2.77,1.81,29,6.14,276,0.51,3.26,10.344717,1785,25,2013-07-02,VE1-2.2013,grassland,Spain,PRJEB9654,ERR952692,SAMEA3474200,ERP010785,ERX1031662,ERS785476,83
PRJEB9654_ERR952693,VE1-2.2013,full-grazed,limed,siliceous,valley,2,PRJEB9654,2013,521233,4768527,5.88,2.77,1.81,29,6.14,276,0.51,3.26,10.344717,1785,25,2013-07-02,VE1-2.2013,grassland,Spain,PRJEB9654,ERR952693,SAMEA3474409,ERP010785,ERX1031663,ERS785685,98
PRJEB9654_ERR952694,VE1-2.2014,full-grazed,limed,siliceous,valley,2,PRJEB9654,2014,521233,4768527,5.54,2.77,1.64,21,6.34,406,0.88,5.61,16.614729,1785,20,2014-06-24,VE1-2.2014,grassland,Spain,PRJEB9654,ERR952694,SAMEA3474201,ERP010785,ERX1031664,ERS785477,63
PRJEB9654_ERR952695,VE1-2.2014,full-grazed,limed,siliceous,valley,2,PRJEB9654,2014,521233,4768527,5.54,2.77,1.64,21,6.34,406,0.88,5.61,16.614729,1785,20,2014-06-24,VE1-2.2014,grassland,Spain,PRJEB9654,ERR952695,SAMEA3474410,ERP010785,ERX1031665,ERS785686,96
PRJEB9654_ERR952696,VE1-3.2013,full-grazed,limed,siliceous,valley,3,PRJEB9654,2013,521304,4768610,5.69,2.36,1.42,27,5.78,286,0.49,1.76,5.530144,2091,18,2013-07-02,VE1-3.2013,grassland,Spain,PRJEB9654,ERR952696,SAMEA3474202,ERP010785,ERX1031666,ERS785478,86
PRJEB9654_ERR952697,VE1-3.2013,full-grazed,limed,siliceous,valley,3,PRJEB9654,2013,521304,4768610,5.69,2.36,1.42,27,5.78,286,0.49,1.76,5.530144,2091,18,2013-07-02,VE1-3.2013,grassland,Spain,PRJEB9654,ERR952697,SAMEA3474411,ERP010785,ERX1031667,ERS785687,114
PRJEB9654_ERR952698,VE1-3.2014,full-grazed,limed,siliceous,valley,3,PRJEB9654,2014,521304,4768610,6.32,2.36,1.81,25,6.35,347,0.49,4.66,14.950967,2091,15,2014-06-24,VE1-3.2014,grassland,Spain,PRJEB9654,ERR952698,SAMEA3474203,ERP010785,ERX1031668,ERS785479,56
PRJEB9654_ERR952699,VE1-3.2014,full-grazed,limed,siliceous,valley,3,PRJEB9654,2014,521304,4768610,6.32,2.36,1.81,25,6.35,347,0.49,4.66,14.950967,2091,15,2014-06-24,VE1-3.2014,grassland,Spain,PRJEB9654,ERR952699,SAMEA3474412,ERP010785,ERX1031669,ERS785688,68
PRJEB9654_ERR952700,VE1-4.2013,full-grazed,limed,siliceous,valley,4,PRJEB9654,2013,521312,4768571,7.6,3.12,1.9,35,6.09,260,0.56,2.79,9.130422,1617,23,2013-07-02,VE1-4.2013,grassland,Spain,PRJEB9654,ERR952700,SAMEA3474204,ERP010785,ERX1031670,ERS785480,77
PRJEB9654_ERR952701,VE1-4.2013,full-grazed,limed,siliceous,valley,4,PRJEB9654,2013,521312,4768571,7.6,3.12,1.9,35,6.09,260,0.56,2.79,9.130422,1617,23,2013-07-02,VE1-4.2013,grassland,Spain,PRJEB9654,ERR952701,SAMEA3474413,ERP010785,ERX1031671,ERS785689,100
PRJEB9654_ERR952702,VE1-4.2014,full-grazed,limed,siliceous,valley,4,PRJEB9654,2014,521312,4768571,5.55,3.12,1.91,20,6.34,356,0.42,6.4,18.632669,1617,15,2014-06-24,VE1-4.2014,grassland,Spain,PRJEB9654,ERR952702,SAMEA3474205,ERP010785,ERX1031672,ERS785481,55
PRJEB9654_ERR952703,VE1-4.2014,full-grazed,limed,siliceous,valley,4,PRJEB9654,2014,521312,4768571,5.55,3.12,1.91,20,6.34,356,0.42,6.4,18.632669,1617,15,2014-06-24,VE1-4.2014,grassland,Spain,PRJEB9654,ERR952703,SAMEA3474414,ERP010785,ERX1031673,ERS785690,112
PRJEB9654_ERR952704,VE2-1.2013,harvested,limed,siliceous,valley,1,PRJEB9654,2013,520496,4768393,5.85,1.9,1.37,23,5.45,114,0.42,2.55,6.926156,1867,14,2013-08-28,VE2-1.2013,grassland,Spain,PRJEB9654,ERR952704,SAMEA3474232,ERP010785,ERX1031674,ERS785508,114
PRJEB9654_ERR952705,VE2-1.2013,harvested,limed,siliceous,valley,1,PRJEB9654,2013,520496,4768393,5.85,1.9,1.37,23,5.45,114,0.42,2.55,6.926156,1867,14,2013-08-28,VE2-1.2013,grassland,Spain,PRJEB9654,ERR952705,SAMEA3474440,ERP010785,ERX1031675,ERS785716,102
PRJEB9654_ERR952706,VE2-1.2014,harvested,limed,siliceous,valley,1,PRJEB9654,2014,520496,4768393,4.55,1.9,2.12,18,5.7,98,0.41,4.01,12.0234,2130,12,2014-07-24,VE2-1.2014,grassland,Spain,PRJEB9654,ERR952706,SAMEA3474233,ERP010785,ERX1031676,ERS785509,33
PRJEB9654_ERR952707,VE2-1.2014,harvested,limed,siliceous,valley,1,PRJEB9654,2014,520496,4768393,4.55,1.9,2.12,18,5.7,98,0.41,4.01,12.0234,2130,12,2014-07-24,VE2-1.2014,grassland,Spain,PRJEB9654,ERR952707,SAMEA3474441,ERP010785,ERX1031677,ERS785717,39
PRJEB9654_ERR952708,VE2-2.2013,harvested,limed,siliceous,valley,2,PRJEB9654,2013,520511,4768383,5.58,1.77,1.5,20,5.48,107,0.39,2.61,7.020204,2231,17,2013-08-28,VE2-2.2013,grassland,Spain,PRJEB9654,ERR952708,SAMEA3474234,ERP010785,ERX1031678,ERS785510,91
PRJEB9654_ERR952709,VE2-2.2013,harvested,limed,siliceous,valley,2,PRJEB9654,2013,520511,4768383,5.58,1.77,1.5,20,5.48,107,0.39,2.61,7.020204,2231,17,2013-08-28,VE2-2.2013,grassland,Spain,PRJEB9654,ERR952709,SAMEA3474442,ERP010785,ERX1031679,ERS785718,118
PRJEB9654_ERR952710,VE2-2.2014,harvested,limed,siliceous,valley,2,PRJEB9654,2014,520511,4768383,4.12,1.77,2.03,16,5.69,51,0.34,4.18,12.5478,2444,10,2014-07-24,VE2-2.2014,grassland,Spain,PRJEB9654,ERR952710,SAMEA3474235,ERP010785,ERX1031680,ERS785511,98
PRJEB9654_ERR952711,VE2-2.2014,harvested,limed,siliceous,valley,2,PRJEB9654,2014,520511,4768383,4.12,1.77,2.03,16,5.69,51,0.34,4.18,12.5478,2444,10,2014-07-24,VE2-2.2014,grassland,Spain,PRJEB9654,ERR952711,SAMEA3474443,ERP010785,ERX1031681,ERS785719,114
PRJEB9654_ERR952712,VE2-3.2013,harvested,limed,siliceous,valley,3,PRJEB9654,2013,520543,4768398,3.88,2.02,1.52,22,5.33,95,0.36,2,4.194414,1940,15,2013-08-28,VE2-3.2013,grassland,Spain,PRJEB9654,ERR952712,SAMEA3474236,ERP010785,ERX1031682,ERS785512,119
