,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
method,fold,,,,,,,,,,,,
S,fold3,,,,,,0.7098883989910676,,,,,,0.025036447086182592
M,fold4,0.8391366823288617,0.8219805990745098,0.7373934523911297,0.7814926401564595,0.9290552568943872,0.8036108610033389,0.9080086946487427,0.34815654158592224,36.92646026611328,10.745099067687988,0.19474932551383972,0.022071408107876778
M,fold4,0.8339283598589453,0.7804555417674187,0.7777610522899729,0.8088512031623056,0.9249568157521231,0.7822412731018618,0.9662045836448669,0.39791014790534973,34.424583435058594,10.07891845703125,0.18803176283836365,0.023432787507772446
S,fold4,0.8131791169991395,,,,,,0.9698114991188049,,,,,
R,fold4,0.8128830010999425,,,,,,0.963424324221647,,,,,
X,fold4,0.8103783273198112,,,,,,0.9079378247261047,,,,,
S,fold4,0.7985886509431245,,,,,,0.957099474132563,,,,,
S,fold4,,0.7988401148567025,,,,,,0.3861324191093445,,,,
R,fold4,,0.7048298272816277,,,,,,0.41926548888515053,,,,
X,fold4,,0.5769149480820617,,,,,,0.43040481209754944,,,,
S,fold4,,0.7096685446316922,,,,,,0.426000048670385,,,,
S,fold4,,,0.7557119334130142,,,,,,35.811134338378906,,,
R,fold4,,,0.7692327884944018,,,,,,38.98321110134422,,,
X,fold4,,,0.5191509184517434,,,,,,45.51068115234375,,,
S,fold4,,,0.7839860433620697,,,,,,36.169725051741615,,,
S,fold4,,,,0.7411558536879277,,,,,,10.880148887634277,,
R,fold4,,,,0.737444119137283,,,,,,11.169776205504766,,
X,fold4,,,,0.6332070589425497,,,,,,12.262055397033691,,
S,fold4,,,,0.7514572360192759,,,,,,10.598405168752723,,
S,fold4,,,,,0.9298445470608125,,,,,,0.16846932470798492,
R,fold4,,,,,0.8811312848243185,,,,,,0.22913664336909592,
X,fold4,,,,,0.8434543661252181,,,,,,0.26425647735595703,
S,fold4,,,,,0.9272284332518944,,,,,,0.19591731922098665,
S,fold4,,,,,,0.7933146867712388,,,,,,0.022829441353678703
R,fold4,,,,,,0.8211662915758977,,,,,,0.021423333725046935
X,fold4,,,,,,0.76123578842957,,,,,,0.02478920668363571
S,fold4,,,,,,0.761360155036648,,,,,,0.023057459146612676
M,fold5,0.6902561844727414,0.7606332693522506,0.6438777515928877,0.6456656306779541,0.7258767154066221,0.6347337289250016,1.0665730237960815,0.36508405208587646,35.21152877807617,12.089964866638184,0.30592748522758484,0.02868213877081871
M,fold5,0.7048818686707792,0.7642993421785188,0.6828018448812513,0.6105694025879413,0.7372243586480796,0.6465413301581211,1.0947173833847046,0.3803631663322449,32.73405456542969,12.752514839172363,0.30136653780937195,0.027753906324505806
S,fold5,0.7158432516551811,,,,,,1.127799391746521,,,,,
R,fold5,0.7210993232654843,,,,,,1.0575953243677623,,,,,
X,fold5,0.6354096491592077,,,,,,1.0962753295898438,,,,,
S,fold5,0.6738225723530711,,,,,,0.9944521013372707,,,,,
S,fold5,,0.7639519050396227,,,,,,0.37388142943382263,,,,
R,fold5,,0.7190402001847589,,,,,,0.3689533907640978,,,,
X,fold5,,0.7529917641864191,,,,,,0.3642748296260834,,,,
S,fold5,,0.7715020402368504,,,,,,0.3807896113608676,,,,
S,fold5,,,0.6849980011097845,,,,,,29.560972213745117,,,
R,fold5,,,0.5828518992647042,,,,,,35.36138934136906,,,
X,fold5,,,0.4587553697775672,,,,,,40.012020111083984,,,
S,fold5,,,0.7159487537418793,,,,,,25.644953289468607,,,
S,fold5,,,,0.6211776856582218,,,,,,12.509917259216309,,
R,fold5,,,,0.6394337533756647,,,,,,12.04091680333667,,
X,fold5,,,,0.5992702656216942,,,,,,12.484955787658691,,
S,fold5,,,,0.6091874522561979,,,,,,12.44736270313202,,
S,fold5,,,,,0.7235115607909023,,,,,,0.31517210602760315,
R,fold5,,,,,0.7107544934042007,,,,,,0.3180440589261283,
X,fold5,,,,,0.6742206407490176,,,,,,0.3271986246109009,
S,fold5,,,,,0.7381137203609445,,,,,,0.31076111387437577,
S,fold5,,,,,,0.6347608117986472,,,,,,0.027976438403129578
R,fold5,,,,,,0.6675201081698409,,,,,,0.026601695034746766
X,fold5,,,,,,0.6880456006001429,,,,,,0.026544239372015
S,fold5,,,,,,0.6529167926713209,,,,,,0.025773276511194997
