Metric,Model,pH,area
R2,MT,0.548±0.125,0.956±0.017
R2,ST,0.536±0.128,0.950±0.011
R2,RF,-39.880±9.008,0.943±0.025
R2,SVR,-39.315±9.445,0.907±0.045
R2,XGB,-40.187±8.872,0.936±0.019
MSE,MT,0.193±0.077,0.940±0.021
MSE,ST,0.199±0.082,0.929±0.017
MSE,RF,16.606±1.642,0.920±0.039
MSE,SVR,16.349±1.822,0.868±0.047
MSE,XGB,16.739±1.553,0.912±0.030
