,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
M,fold4,0.8410629627234955,0.8183905051594753,0.7402801399344273,0.7927469161556288,0.9277006651171783,0.8017865539295718,0.915077805519104,0.3515663146972656,36.73929214477539,10.191400527954102,0.1899009793996811,0.021628327667713165
M,fold4,0.8306753284875332,0.7763881407127343,0.7711698727919858,0.8101566151408474,0.9212747724165992,0.7736768579776647,0.9635570645332336,0.39404016733169556,34.12077331542969,9.854987144470215,0.1897631287574768,0.023272709921002388
S,fold4,0.8131786544345422,,,,,,0.9698115587234497,,,,,
R,fold4,0.8181320460102894,,,,,,4.8495650830502735,,,,,
X,fold4,0.8102865715058845,,,,,,4.767321586608887,,,,,
S,fold4,0.7411561849280279,,,,,,3.3714298735039963,,,,,
S,fold4,,0.7988406575952293,,,,,,0.38613083958625793,,,,
R,fold4,,0.7041593120977528,,,,,,0.8268160847280027,,,,
X,fold4,,0.5765844045657859,,,,,,0.7851011157035828,,,,
S,fold4,,0.7447189154647877,,,,,,0.8025064980089062,,,,
S,fold4,,,0.7557116677248343,,,,,,35.81114959716797,,,
R,fold4,,,0.7692767482474374,,,,,,6073.141490445559,,,
X,fold4,,,0.5191857542796393,,,,,,5201.94482421875,,,
S,fold4,,,0.6789142394196596,,,,,,3751.165630515107,,,
S,fold4,,,,0.7411558862295816,,,,,,10.880145072937012,,
R,fold4,,,,0.7381249803804503,,,,,,835.8918613226059,,
X,fold4,,,,0.6333805576988971,,,,,,810.062255859375,,
S,fold4,,,,0.6294604701077685,,,,,,706.9296645072089,,
S,fold4,,,,,0.9298445661321998,,,,,,0.16847003996372223,
R,fold4,,,,,0.8816450439599386,,,,,,4.393177679437951,
X,fold4,,,,,0.8435091704718891,,,,,,4.373076915740967,
S,fold4,,,,,0.9299583278165962,,,,,,4.371928044298555,
S,fold4,,,,,,0.7933147104433461,,,,,,0.022829385474324226
R,fold4,,,,,,0.8231747573899763,,,,,,0.039067951859020685
X,fold4,,,,,,0.7596974313168903,,,,,,0.03921531140804291
S,fold4,,,,,,0.773756080028762,,,,,,0.040851528516769514
M,fold5,0.6911138595349471,0.7627036148478649,0.6524980709201752,0.6487030224033349,0.7300936106525828,0.6400579235325282,1.1253914833068848,0.3619106411933899,34.60695266723633,11.902859687805176,0.3087190091609955,0.02788139320909977
M,fold5,0.7265521515869695,0.7764702166612862,0.6940634184555323,0.6148054914020585,0.7243112186820458,0.6631846441936742,0.9869095683097839,0.37236636877059937,30.685043334960938,12.678380012512207,0.3102363646030426,0.027547352015972137
S,fold5,0.7158435475138134,,,,,,1.1277928352355957,,,,,
R,fold5,0.7228400363529465,,,,,,4.7936484395515295,,,,,
X,fold5,0.6351310274894817,,,,,,4.988004684448242,,,,,
S,fold5,0.6371641240492194,,,,,,3.8991940528002775,,,,,
S,fold5,,0.763953057543133,,,,,,0.37388068437576294,,,,
R,fold5,,0.7213724520561625,,,,,,0.7301379015206815,,,,
X,fold5,,0.7528504865513236,,,,,,0.7448395490646362,,,,
S,fold5,,0.7907420398177691,,,,,,0.6858897736622875,,,,
S,fold5,,,0.6849977622133686,,,,,,29.56087303161621,,,
R,fold5,,,0.5828079349830658,,,,,,6928.674793299301,,,
X,fold5,,,0.45889577238087087,,,,,,6572.1181640625,,,
S,fold5,,,0.5784429260467575,,,,,,3755.2468429064593,,,
S,fold5,,,,0.621177685035956,,,,,,12.509903907775879,,
R,fold5,,,,0.640313792061862,,,,,,748.5426291216606,,
X,fold5,,,,0.5994992841299838,,,,,,728.06787109375,,
S,fold5,,,,0.5185056615944468,,,,,,650.4497969768553,,
S,fold5,,,,,0.7235115698880239,,,,,,0.3151717782020569,
R,fold5,,,,,0.7110858749039959,,,,,,3.893144032857052,
X,fold5,,,,,0.6736875956958617,,,,,,3.9106528759002686,
S,fold5,,,,,0.7387817582327862,,,,,,3.874299692590622,
S,fold5,,,,,,0.634759930697349,,,,,,0.027976637706160545
R,fold5,,,,,,0.6649493931986833,,,,,,0.03712978708361672
X,fold5,,,,,,0.6877537557392441,,,,,,0.037100158631801605
S,fold5,,,,,,0.6500868732580866,,,,,,0.03847169739616031
