Metric,Model,NH4.N,soiltype
R2,MT,0.559±0.059,0.801±0.069
R2,ST,0.530±0.099,0.807±0.072
R2,RF,-0.639±0.475,0.784±0.054
R2,SVR,-0.469±0.322,0.706±0.044
R2,XGB,-0.921±0.666,0.780±0.056
MSE,MT,0.287±0.135,0.328±0.061
MSE,ST,0.299±0.130,0.330±0.059
MSE,RF,0.943±0.146,0.321±0.058
MSE,SVR,0.878±0.195,0.280±0.037
MSE,XGB,1.085±0.211,0.319±0.053
