,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
184_21_Miyz_Spin,6.7081995,15.7081995,9.0,Miyz,Spin,Miyz_Spin
189_21_Miyz_Spin,42.999992,76.0,118.99999,Miyz,Spin,Miyz_Spin
191_21_Miyz_Spin,7.928856,22.928856,15.0,Miyz,Spin,Miyz_Spin
193_21_Miyz_Spin,10.0,18.0,8.0,Miyz,Spin,Miyz_Spin
207_21_Miyz_Spin,44.679924,119.32006,163.99998,Miyz,Spin,Miyz_Spin
240_21_Aomo_Appl,1.4666214,52.46662,51.0,Aomo,Appl,Aomo_Appl
241_21_Aomo_Appl,37.0,86.0,49.0,Aomo,Appl,Aomo_Appl
242_21_Aomo_Appl,24.798454,67.798454,43.0,Aomo,Appl,Aomo_Appl
250_21_Aomo_Appl,19.10035,63.89965,83.0,Aomo,Appl,Aomo_Appl
251_21_Aomo_Appl,4.810562,82.18944,87.0,Aomo,Appl,Aomo_Appl
258_21_Sait_Spin,125.20118,21.79882,147.0,Sait,Spin,Sait_Spin
259_21_Sait_Spin,105.44267,64.55733,170.0,Sait,Spin,Sait_Spin
269_21_Naga_Appl,7.075979,34.07598,27.000002,Naga,Appl,Naga_Appl
283_22_Miyz_Soyb,7.3972445,10.397244,3.0,Miyz,Soyb,Miyz_Soyb
287_22_Hokk_Soyb,9.0,64.0,55.0,Hokk,Soyb,Hokk_Soyb
298_22_Hokk_Whea,2.0,16.0,14.0,Hokk,Whea,Hokk_Whea
310_22_Chib_Whea,12.0,15.0,3.0,Chib,Whea,Chib_Whea
311_22_Chib_Whea,10.829295,15.829295,5.0,Chib,Whea,Chib_Whea
326_22_Niig_Rice,6.0,14.0,8.0,Niig,Rice,Niig_Rice
332_22_Niig_jpea,62.190163,52.809853,115.000015,Niig,jpea,Niig_jpea
344_22_Yama_Rice,7.0,13.0,20.0,Yama,Rice,Yama_Rice
350_22_Sait_Pear,4.0,74.0,78.0,Sait,Pear,Sait_Pear
357_22_Sait_Pear,21.993599,78.0064,100.0,Sait,Pear,Sait_Pear
359_22_Sait_Pear,11.395981,52.39598,41.0,Sait,Pear,Sait_Pear
370_22_Miee_Soyb,1.6940632,31.694063,30.0,Miee,Soyb,Miee_Soyb
013_20_Akit_Rice,0.586957,13.413043,14.0,Akit,Rice,Akit_Rice
099_20_Hyog_Rice,0.23724174,16.237242,16.0,Hyog,Rice,Hyog_Rice
100_20_Hyog_Rice,1.3304024,9.330402,8.0,Hyog,Rice,Hyog_Rice
128_20_Miyz_Spin,7.0,30.0,23.0,Miyz,Spin,Miyz_Spin
024_20_Niig_Rice,2.472989,8.0,10.472989,Niig,Rice,Niig_Rice
064_20_Naga_Onio,7.5848103,24.41519,32.0,Naga,Onio,Naga_Onio
049_20_Sait_Yama,50.47241,10.425204,60.897614,Sait,Yama,Sait_Yama
147_21_Miyz_Spin,26.350037,80.649956,106.99999,Miyz,Spin,Miyz_Spin
149_21_Miyz_Spin,5.716484,124.716484,119.0,Miyz,Spin,Miyz_Spin
153_21_Miyz_Spin,150.06735,43.932655,194.00002,Miyz,Spin,Miyz_Spin
