crop-id,pH,NO3.N,density_score
001_20_Aomo_Rice,5.51,0.105092457,0.1488271802329614
002_20_Aomo_Rice,5.28,0.207741935,0.11271202178837772
003_20_Aomo_Rice,5.67,0.310785398,0.1652146811264088
004_20_Aomo_Rice,5.69,0.105750748,0.15773649877246448
005_20_Aomo_Rice,5.66,0.104478988,0.15762937113050798
006_20_Aomo_Rice,5.56,0.103988936,0.15333216550517179
007_20_Aomo_Rice,5.57,0.0,0.14919959209797937
008_20_Aomo_Rice,5.52,0.103525264,0.14980330407366182
009_20_Aomo_Rice,5.49,0.103134837,0.1465059829471188
010_20_Aomo_Rice,5.45,0.102751263,0.1412986023253337
011_20_Akit_Rice,5.87,0.6,0.16396180783496975
012_20_Akit_Rice,6.24,0.2,0.11888471822206281
013_20_Akit_Rice,5.56,0.2,0.15671837667843588
014_20_Akit_Rice,5.55,0.2,0.1558677151391343
015_20_Akit_Rice,5.18,0.1,0.08972457658433962
016_20_Akit_Rice,6.09,0.3,0.1362865938849329
017_20_Akit_Soyb,5.71,2.6,0.057696707198376086
018_20_Akit_Soyb,5.68,1.1,0.15041994334098194
019_20_Akit_Soyb,6.6,0.8,0.1234689051658759
020_20_Akit_Soyb,5.75,0.1,0.15595333210481369
091_20_Hyog_Rice,7.23,0.0,0.048042635803292634
092_20_Hyog_Rice,6.01,1.1,0.1498950707314377
093_20_Hyog_Rice,6.15,0.0,0.11398176546757366
094_20_Hyog_Rice,7.08,0.6,0.07839516400752468
095_20_Hyog_Rice,6.33,0.3,0.11864016362926144
096_20_Hyog_Rice,6.17,0.4,0.13360898153745362
097_20_Hyog_Rice,5.75,0.0,0.15022009710038445
098_20_Hyog_Rice,5.68,0.7,0.16626616830822766
099_20_Hyog_Rice,5.81,0.6,0.1670117895400516
100_20_Hyog_Rice,5.41,0.0,0.13169079588514662
122_20_Miyz_Spin,5.89,5.8,0.013525123406011356
123_20_Miyz_Spin,5.76,8.2,0.00924540670811139
124_20_Miyz_Spin,5.45,3.5,0.020547361490137347
126_20_Miyz_Spin,5.96,8.3,0.009834638883539998
127_20_Miyz_Spin,5.63,9.4,0.00921925250833262
128_20_Miyz_Spin,5.55,9.5,0.008294553100772002
129_20_Miyz_Spin,5.67,10.1,0.007413691458538198
130_20_Miyz_Spin,5.84,9.0,0.009991496109642162
021_20_Niig_Rice,5.86,0.932166112,0.16042450037307843
022_20_Niig_Rice,5.83,0.626603486,0.1661793257518396
023_20_Niig_Rice,6.01,0.418674248,0.1487189667946749
024_20_Niig_Rice,5.76,0.103692962,0.15570974550330635
025_20_Niig_Rice,5.69,0.10343667,0.15762330102350963
026_20_Niig_Rice,5.62,0.210157944,0.16079465473459786
027_20_Niig_Rice,5.74,0.2090262,0.16140108580507553
028_20_Niig_Rice,5.35,0.218749,0.12709488796172658
029_20_Niig_Rice,5.34,0.111365031,0.12312186012746595
030_20_Niig_Rice,5.91,0.323128815,0.15481912277852333
061_20_Naga_Barl,6.96,0.1,0.0752260237389607
062_20_Naga_Barl,6.71,0.4,0.10515106193822789
063_20_Naga_Onio,7.2,0.1,0.05375190330988239
064_20_Naga_Onio,4.98,0.4,0.049911512672955086
065_20_Naga_Onio,5.22,0.2,0.09967239198587159
066_20_Naga_Onio,5.21,0.2,0.097481091613667
067_20_Naga_Pump,5.69,0.3,0.1651576976498194
068_20_Naga_Rice,6.49,0.0,0.09535819836346346
069_20_Naga_Rice,6.48,0.1,0.10148062520830652
070_20_Naga_Rice,6.46,0.0,0.09644698455666174
041_20_Sait_Carr,6.62,1.626488095,0.12234548152595859
043_20_Sait_Carr,6.52,3.690528351,0.06812199163569366
044_20_Sait_Broc,6.37,5.377466504,0.02907825719408334
045_20_Sait_Broc,6.43,3.319157384,0.07970589028452452
046_20_Sait_Burd,6.85,1.036143251,0.10703537356793832
047_20_Sait_Burd,7.06,0.92359352,0.08446057788295962
048_20_Sait_Yama,5.6,0.883364662,0.1549624515778212
049_20_Sait_Yama,6.2,2.878796379,0.08419689545568013
050_20_Sait_Stra,6.26,2.591871921,0.0974093506876367
131_21_Akit_Edam,5.9,1.6,0.12762793737732087
132_21_Akit_Edam,6.6,0.0,0.09133465776149596
133_21_Akit_Edam,6.6,1.0,0.12640600883000602
134_21_Akit_Edam,6.1,1.5,0.1343525915159219
135_21_Akit_Edam,5.8,0.5,0.16679226228831076
136_21_Akit_Soyb,6.1,3.3,0.06464449177624489
137_21_Akit_Soyb,4.8,2.1,0.00855153279106676
138_21_Akit_Soyb,5.6,3.7,0.02543075399753284
