Metric,Model,pH,crop
R2,MT,0.582±0.207,0.853±0.046
R2,ST,0.595±0.160,0.723±0.129
R2,RF,-40.133±8.593,0.799±0.034
R2,SVR,-40.078±8.846,0.565±0.049
R2,XGB,-40.002±8.371,0.806±0.036
MSE,MT,0.175±0.087,0.738±0.080
MSE,ST,0.171±0.072,0.568±0.098
MSE,RF,16.711±1.275,0.627±0.040
MSE,SVR,16.677±1.396,0.197±0.022
MSE,XGB,16.670±1.222,0.729±0.037
