Metric,Model,pH,Available.P
R2,MT,0.663±0.119,0.340±0.093
R2,ST,0.577±0.083,0.325±0.129
R2,RF,-40.621±9.469,-11547.738±7921.135
R2,SVR,-40.485±9.503,-2175.417±1308.421
R2,XGB,-40.636±9.381,-12574.628±7814.289
MSE,MT,0.149±0.081,5341.332±1889.191
MSE,ST,0.183±0.073,5400.023±2075.281
MSE,RF,16.776±1.467,73521865.538±11098335.943
MSE,SVR,16.714±1.479,14140048.385±689408.013
MSE,XGB,16.789±1.437,83504396.000±28933658.399
