,Exchangeable_K_ST,Pred_Exchangeable_K_ST,True_Exchangeable_K_ST,土地,作物,土地_作物
348_22_Sait_Pear,10.0,41.0,51.0,Sait,Pear,Sait_Pear
365_22_Miee_Soyb,10.0,18.0,8.0,Miee,Soyb,Miee_Soyb
366_22_Miee_Soyb,9.0,21.0,12.0,Miee,Soyb,Miee_Soyb
002_20_Aomo_Rice,8.055483,7.0058074,15.061291,Aomo,Rice,Aomo_Rice
014_20_Akit_Rice,13.51931,9.08069,22.6,Akit,Rice,Akit_Rice
015_20_Akit_Rice,4.0,21.0,17.0,Akit,Rice,Akit_Rice
127_20_Miyz_Spin,15.770931,35.22907,51.0,Miyz,Spin,Miyz_Spin
026_20_Niig_Rice,2.9702082,16.0,13.029792,Niig,Rice,Niig_Rice
030_20_Niig_Rice,1.2346611,23.0,24.234661,Niig,Rice,Niig_Rice
062_20_Naga_Barl,1.1000004,33.0,31.9,Naga,Barl,Naga_Barl
065_20_Naga_Onio,1.9948177,23.69482,21.700003,Naga,Onio,Naga_Onio
066_20_Naga_Onio,6.7000027,15.0,21.700003,Naga,Onio,Naga_Onio
067_20_Naga_Pump,6.1000004,16.0,9.9,Naga,Pump,Naga_Pump
144_21_Miyz_Spin,9.0,46.0,37.0,Miyz,Spin,Miyz_Spin
152_21_Miyz_Spin,5.0,33.0,28.0,Miyz,Spin,Miyz_Spin
155_21_Miyz_Spin,14.0,30.0,44.0,Miyz,Spin,Miyz_Spin
158_21_Miyz_Spin,16.0,35.0,51.0,Miyz,Spin,Miyz_Spin
169_21_Miyz_Spin,6.0,34.0,28.0,Miyz,Spin,Miyz_Spin
198_21_Miyz_Spin,6.550585,29.550585,23.0,Miyz,Spin,Miyz_Spin
225_21_Miyz_Edam,15.0,27.0,42.0,Miyz,Edam,Miyz_Edam
230_21_Miyz_Edam,7.0,27.0,34.0,Miyz,Edam,Miyz_Edam
255_21_Sait_Spin,4.4113827,27.588617,32.0,Sait,Spin,Sait_Spin
266_21_Naga_Appl,29.824581,38.17542,68.0,Naga,Appl,Naga_Appl
270_21_Naga_Appl,1.1315155,34.868484,36.0,Naga,Appl,Naga_Appl
282_22_Naga_Rice,14.0,29.0,15.0,Naga,Rice,Naga_Rice
292_22_Hokk_Whea,14.209095,48.209095,34.0,Hokk,Whea,Hokk_Whea
306_22_Hokk_Whea,3.0,37.0,34.0,Hokk,Whea,Hokk_Whea
308_22_Hokk_Whea,4.0,30.0,34.0,Hokk,Whea,Hokk_Whea
328_22_Niig_Pear,2.0,39.0,41.0,Niig,Pear,Niig_Pear
329_22_Niig_Pear,23.002037,39.997963,63.0,Niig,Pear,Niig_Pear
336_22_Yama_Rice,9.0,12.0,21.0,Yama,Rice,Yama_Rice
346_22_Yama_Rice,8.0,16.0,8.0,Yama,Rice,Yama_Rice
362_22_Miee_Soyb,11.026205,20.026205,9.0,Miee,Soyb,Miee_Soyb
369_22_Miee_Soyb,10.0,18.0,28.0,Miee,Soyb,Miee_Soyb
091_20_Hyog_Rice,2.7000008,21.0,23.7,Hyog,Rice,Hyog_Rice
092_20_Hyog_Rice,7.0996876,16.500313,23.6,Hyog,Rice,Hyog_Rice
061_20_Naga_Barl,26.3,50.0,23.7,Naga,Barl,Naga_Barl
063_20_Naga_Onio,8.356644,39.056644,30.7,Naga,Onio,Naga_Onio
041_20_Sait_Carr,79.99999,45.0,124.99999,Sait,Carr,Sait_Carr
135_21_Akit_Edam,39.999992,45.0,84.99999,Akit,Edam,Akit_Edam
151_21_Miyz_Spin,5.0,44.0,39.0,Miyz,Spin,Miyz_Spin
163_21_Miyz_Spin,2.0,40.0,38.0,Miyz,Spin,Miyz_Spin
166_21_Miyz_Spin,18.0,46.0,28.0,Miyz,Spin,Miyz_Spin
170_21_Miyz_Spin,8.066864,40.066864,32.0,Miyz,Spin,Miyz_Spin
185_21_Miyz_Spin,2.9903412,50.99034,48.0,Miyz,Spin,Miyz_Spin
194_21_Miyz_Spin,9.0,41.0,50.0,Miyz,Spin,Miyz_Spin
213_21_Miyz_Edam,66.0,41.0,107.0,Miyz,Edam,Miyz_Edam
215_21_Miyz_Edam,14.0,35.0,49.0,Miyz,Edam,Miyz_Edam
224_21_Miyz_Edam,0.01922226,35.980778,36.0,Miyz,Edam,Miyz_Edam
233_21_Miyz_Edam,3.0,32.0,29.0,Miyz,Edam,Miyz_Edam
239_21_Aomo_Appl,22.0,51.0,29.0,Aomo,Appl,Aomo_Appl
252_21_Aomo_Appl,65.92676,41.073242,107.0,Aomo,Appl,Aomo_Appl
253_21_Sait_Spin,0.021396637,34.021397,34.0,Sait,Spin,Sait_Spin
254_21_Sait_Spin,15.306429,26.693571,42.0,Sait,Spin,Sait_Spin
256_21_Sait_Spin,19.801334,63.801334,44.0,Sait,Spin,Sait_Spin
279_22_Naga_Rice,8.367952,20.367952,12.0,Naga,Rice,Naga_Rice
300_22_Hokk_Whea,2.0,35.0,37.0,Hokk,Whea,Hokk_Whea
317_22_Miyg_Rice,12.0,18.0,30.0,Miyg,Rice,Miyg_Rice
322_22_Niig_Rice,7.0,23.0,30.0,Niig,Rice,Niig_Rice
335_22_Yama_Rice,5.935877,16.935877,11.0,Yama,Rice,Yama_Rice
341_22_Yama_Rice,8.0,17.0,9.0,Yama,Rice,Yama_Rice
358_22_Sait_Pear,17.0,33.0,16.0,Sait,Pear,Sait_Pear
373_22_Miee_Soyb,5.2850685,21.714931,27.0,Miee,Soyb,Miee_Soyb
374_22_Miee_Soyb,3.1762486,19.823751,23.0,Miee,Soyb,Miee_Soyb
