,NH4_N_ST,Pred_NH4_N_ST,True_NH4_N_ST,土地,作物,土地_作物
236_21_Miyz_Spin,0.0,0.8,0.8,Miyz,Spin,Miyz_Spin
257_21_Sait_Spin,0.011322081,0.8113221,0.8,Sait,Spin,Sait_Spin
265_21_Naga_Appl,0.0,0.7,0.7,Naga,Appl,Naga_Appl
276_22_Naga_Rice,0.0,0.4,0.4,Naga,Rice,Naga_Rice
278_22_Naga_Rice,0.0,0.5,0.5,Naga,Rice,Naga_Rice
285_22_Miyz_Soyb,0.90000004,0.3,1.2,Miyz,Soyb,Miyz_Soyb
286_22_Hokk_Soyb,0.100000024,0.7,0.8,Hokk,Soyb,Hokk_Soyb
296_22_Hokk_Whea,0.20000002,0.4,0.6,Hokk,Whea,Hokk_Whea
314_22_Chib_Whea,0.66009533,0.93990374,1.5999991,Chib,Whea,Chib_Whea
320_22_Miyg_Rice,0.19999999,0.6,0.8,Miyg,Rice,Miyg_Rice
330_22_Niig_Pear,0.33016515,0.7698349,1.1,Niig,Pear,Niig_Pear
340_22_Yama_Rice,0.6,0.6,0.0,Yama,Rice,Yama_Rice
345_22_Yama_Rice,0.69291604,0.69291604,0.0,Yama,Rice,Yama_Rice
356_22_Sait_Pear,0.49999997,0.9,0.4,Sait,Pear,Sait_Pear
368_22_Miee_Soyb,2.3673682,1.0326318,3.3999999,Miee,Soyb,Miee_Soyb
371_22_Miee_Soyb,3.4899,0.71009356,4.1999936,Miee,Soyb,Miee_Soyb
009_20_Aomo_Rice,0.6313484,0.4,1.0313483,Aomo,Rice,Aomo_Rice
094_20_Hyog_Rice,0.0,0.6,0.6,Hyog,Rice,Hyog_Rice
022_20_Niig_Rice,0.21655595,0.7233492,0.93990517,Niig,Rice,Niig_Rice
023_20_Niig_Rice,0.64201707,0.3,0.9420171,Niig,Rice,Niig_Rice
027_20_Niig_Rice,0.32707858,0.3,0.6270786,Niig,Rice,Niig_Rice
046_20_Sait_Burd,0.025300205,0.7,0.7253002,Sait,Burd,Sait_Burd
048_20_Sait_Yama,0.38336474,0.5,0.88336474,Sait,Yama,Sait_Yama
134_21_Akit_Edam,0.18975523,0.28975523,0.1,Akit,Edam,Akit_Edam
145_21_Miyz_Spin,0.1,0.2,0.1,Miyz,Spin,Miyz_Spin
174_21_Miyz_Spin,0.099999994,0.4,0.5,Miyz,Spin,Miyz_Spin
187_21_Miyz_Spin,0.099999994,0.4,0.5,Miyz,Spin,Miyz_Spin
192_21_Miyz_Spin,0.4358526,0.7358526,0.3,Miyz,Spin,Miyz_Spin
199_21_Miyz_Spin,0.49999997,0.4,0.9,Miyz,Spin,Miyz_Spin
202_21_Miyz_Spin,0.4,0.4,0.8,Miyz,Spin,Miyz_Spin
217_21_Miyz_Edam,0.0,0.4,0.4,Miyz,Edam,Miyz_Edam
220_21_Miyz_Edam,0.0,0.3,0.3,Miyz,Edam,Miyz_Edam
264_21_Naga_Appl,0.9999974,0.5,1.4999974,Naga,Appl,Naga_Appl
272_22_Naga_Rice,0.0,0.3,0.3,Naga,Rice,Naga_Rice
277_22_Naga_Rice,0.0,0.4,0.4,Naga,Rice,Naga_Rice
280_22_Naga_Rice,0.3,0.3,0.6,Naga,Rice,Naga_Rice
281_22_Naga_Rice,0.0,0.5,0.5,Naga,Rice,Naga_Rice
301_22_Hokk_Whea,0.0,0.4,0.4,Hokk,Whea,Hokk_Whea
313_22_Chib_Whea,0.5,0.6,1.1,Chib,Whea,Chib_Whea
318_22_Miyg_Rice,0.20000002,0.4,0.6,Miyg,Rice,Miyg_Rice
331_22_Niig_jpea,0.50000006,0.7,1.2,Niig,jpea,Niig_jpea
333_22_Yama_Rice,0.0,0.3,0.3,Yama,Rice,Yama_Rice
334_22_Yama_Rice,2.8000019,0.2,3.000002,Yama,Rice,Yama_Rice
337_22_Yama_Rice,0.099999994,0.4,0.3,Yama,Rice,Yama_Rice
348_22_Sait_Pear,0.39999998,0.5,0.9,Sait,Pear,Sait_Pear
