,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
325_22_Niig_Rice,3.5740366,11.425963,15.0,Niig,Rice,Niig_Rice
338_22_Yama_Rice,5.582197,24.582197,19.0,Yama,Rice,Yama_Rice
343_22_Yama_Rice,11.734066,25.734066,14.0,Yama,Rice,Yama_Rice
352_22_Sait_Pear,41.41681,25.58319,67.0,Sait,Pear,Sait_Pear
364_22_Miee_Soyb,6.0260735,51.026073,45.0,Miee,Soyb,Miee_Soyb
003_20_Aomo_Rice,5.1069326,15.466446,10.359513,Aomo,Rice,Aomo_Rice
021_20_Niig_Rice,13.999383,20.628119,6.6287355,Niig,Rice,Niig_Rice
138_21_Akit_Soyb,8.0,43.0,35.0,Akit,Soyb,Akit_Soyb
176_21_Miyz_Spin,1.0,46.0,45.0,Miyz,Spin,Miyz_Spin
179_21_Miyz_Spin,12.955475,73.955475,61.0,Miyz,Spin,Miyz_Spin
181_21_Miyz_Spin,18.0,39.0,21.0,Miyz,Spin,Miyz_Spin
184_21_Miyz_Spin,26.0,35.0,9.0,Miyz,Spin,Miyz_Spin
189_21_Miyz_Spin,51.15748,67.842514,118.99999,Miyz,Spin,Miyz_Spin
191_21_Miyz_Spin,5.7278233,20.727823,15.0,Miyz,Spin,Miyz_Spin
193_21_Miyz_Spin,13.0,21.0,8.0,Miyz,Spin,Miyz_Spin
207_21_Miyz_Spin,89.999985,74.0,163.99998,Miyz,Spin,Miyz_Spin
240_21_Aomo_Appl,17.911919,68.91192,51.0,Aomo,Appl,Aomo_Appl
241_21_Aomo_Appl,24.98349,73.98349,49.0,Aomo,Appl,Aomo_Appl
242_21_Aomo_Appl,4.0,47.0,43.0,Aomo,Appl,Aomo_Appl
250_21_Aomo_Appl,18.97908,64.02092,83.0,Aomo,Appl,Aomo_Appl
251_21_Aomo_Appl,0.098526,86.901474,87.0,Aomo,Appl,Aomo_Appl
258_21_Sait_Spin,128.0,19.0,147.0,Sait,Spin,Sait_Spin
259_21_Sait_Spin,122.196106,47.80389,170.0,Sait,Spin,Sait_Spin
269_21_Naga_Appl,7.999998,35.0,27.000002,Naga,Appl,Naga_Appl
283_22_Miyz_Soyb,18.0,21.0,3.0,Miyz,Soyb,Miyz_Soyb
287_22_Hokk_Soyb,16.0,39.0,55.0,Hokk,Soyb,Hokk_Soyb
298_22_Hokk_Whea,7.518217,21.518217,14.0,Hokk,Whea,Hokk_Whea
310_22_Chib_Whea,14.896799,17.8968,3.0,Chib,Whea,Chib_Whea
311_22_Chib_Whea,9.0,14.0,5.0,Chib,Whea,Chib_Whea
326_22_Niig_Rice,7.0,15.0,8.0,Niig,Rice,Niig_Rice
332_22_Niig_jpea,53.017403,61.982613,115.000015,Niig,jpea,Niig_jpea
344_22_Yama_Rice,4.0,16.0,20.0,Yama,Rice,Yama_Rice
350_22_Sait_Pear,4.417145,82.417145,78.0,Sait,Pear,Sait_Pear
357_22_Sait_Pear,24.364136,75.635864,100.0,Sait,Pear,Sait_Pear
359_22_Sait_Pear,34.0,75.0,41.0,Sait,Pear,Sait_Pear
370_22_Miee_Soyb,2.0,32.0,30.0,Miee,Soyb,Miee_Soyb
013_20_Akit_Rice,0.014968872,14.014969,14.0,Akit,Rice,Akit_Rice
099_20_Hyog_Rice,3.0,19.0,16.0,Hyog,Rice,Hyog_Rice
100_20_Hyog_Rice,7.0,15.0,8.0,Hyog,Rice,Hyog_Rice
128_20_Miyz_Spin,15.0,38.0,23.0,Miyz,Spin,Miyz_Spin
024_20_Niig_Rice,1.5270109,12.0,10.472989,Niig,Rice,Niig_Rice
064_20_Naga_Onio,2.7836342,29.216366,32.0,Naga,Onio,Naga_Onio
049_20_Sait_Yama,43.33805,17.559563,60.897614,Sait,Yama,Sait_Yama
147_21_Miyz_Spin,45.701897,152.70189,106.99999,Miyz,Spin,Miyz_Spin
149_21_Miyz_Spin,54.157135,173.15714,119.0,Miyz,Spin,Miyz_Spin
153_21_Miyz_Spin,145.98254,48.017475,194.00002,Miyz,Spin,Miyz_Spin
159_21_Miyz_Spin,325.0,157.0,482.0,Miyz,Spin,Miyz_Spin
171_21_Miyz_Spin,306.33966,208.66035,515.0,Miyz,Spin,Miyz_Spin
195_21_Miyz_Spin,28.096466,61.903534,90.0,Miyz,Spin,Miyz_Spin
197_21_Miyz_Spin,8.840012,119.15999,128.0,Miyz,Spin,Miyz_Spin
200_21_Miyz_Spin,28.644547,41.644547,12.999999,Miyz,Spin,Miyz_Spin
206_21_Miyz_Spin,53.91623,56.08378,110.00001,Miyz,Spin,Miyz_Spin
223_21_Miyz_Edam,40.342487,44.65752,85.00001,Miyz,Edam,Miyz_Edam
229_21_Miyz_Edam,14.005638,46.00564,32.0,Miyz,Edam,Miyz_Edam
234_21_Miyz_Spin,41.76815,53.76815,12.0,Miyz,Spin,Miyz_Spin
