,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC
method,fold,,,,,,,,,,,,,,,,
M,fold3,0.8498943778487549,0.7865268546001195,0.5929810682949888,0.6679653629911252,0.8343021904007485,0.7318378602932244,0.7006741855576059,0.7400879411874933,0.7827349901199341,0.3338998556137085,34.43931198120117,12.49427604675293,0.23830266296863556,0.02357974462211132,1.9296245574951172,4.455586910247803
M,fold3,0.8441746980601382,0.8475647968393828,0.5551414104368776,0.7253484589731836,0.8232916919715976,0.7294571021086383,0.6820181700377963,0.7301479214036797,0.7810216546058655,0.2696516811847687,34.47550964355469,11.670334815979004,0.24936917424201965,0.024184217676520348,1.9803907871246338,4.746603488922119
S,fold3,0.8258460283309562,,,,,,,,0.8330522179603577,,,,,,,
R,fold3,0.8232046697290016,,,,,,,,5.039679669928815,,,,,,,
X,fold3,0.7340951307984562,,,,,,,,4.745763778686523,,,,,,,
S,fold3,0.7744250049162107,,,,,,,,3.643800587242425,,,,,,,
S,fold3,,0.7879750288820808,,,,,,,,0.3144538998603821,,,,,,
R,fold3,,0.6406240691569043,,,,,,,,0.8473503196314949,,,,,,
X,fold3,,0.6017363664947569,,,,,,,,0.8268953561782837,,,,,,
S,fold3,,0.7393664156950506,,,,,,,,0.7856910695113414,,,,,,
S,fold3,,,0.582714905543471,,,,,,,,36.71332931518555,,,,,
R,fold3,,,0.5352860665355972,,,,,,,,6869.914745322578,,,,,
X,fold3,,,0.5138498380020776,,,,,,,,7636.12841796875,,,,,
S,fold3,,,0.47142321907098106,,,,,,,,3807.892793341043,,,,,
S,fold3,,,,0.6998047855373616,,,,,,,,12.018386840820312,,,,
R,fold3,,,,0.6731716158574539,,,,,,,,780.544842212655,,,,
X,fold3,,,,0.5501814551436627,,,,,,,,811.0504760742188,,,,
S,fold3,,,,0.574024340155941,,,,,,,,672.7947054118333,,,,
S,fold3,,,,,0.8259824237603911,,,,,,,,0.2512948215007782,,,
R,fold3,,,,,0.7679168991845302,,,,,,,,4.150593865797402,,,
X,fold3,,,,,0.7766019636531029,,,,,,,,4.148414134979248,,,
S,fold3,,,,,0.8300903874883966,,,,,,,,4.161491073587239,,,
S,fold3,,,,,,0.7210594178382328,,,,,,,,0.02541056089103222,,
R,fold3,,,,,,0.7539525870100563,,,,,,,,0.04029736821582817,,
X,fold3,,,,,,0.729255596450448,,,,,,,,0.04012675583362579,,
S,fold3,,,,,,0.7440459501697906,,,,,,,,0.04219488150640535,,
S,fold3,,,,,,,0.6430901305557614,,,,,,,,2.1587774753570557,
R,fold3,,,,,,,0.5775539695456678,,,,,,,,20.58610968481062,
X,fold3,,,,,,,0.5813331599455902,,,,,,,,20.58171272277832,
S,fold3,,,,,,,0.5497834248468495,,,,,,,,18.789355968716123,
S,fold3,,,,,,,,0.707111863421946,,,,,,,,5.073195934295654
R,fold3,,,,,,,,0.6569224042451797,,,,,,,,198.2694426533865
X,fold3,,,,,,,,0.5572712610450287,,,,,,,,195.90367126464844
S,fold3,,,,,,,,0.590586580953046,,,,,,,,193.77673941974163
M,fold4,0.829798148560576,0.8159285217921172,0.7592731181627258,0.8131138725981114,0.9186861916899125,0.7971779792340103,0.8542804198655561,0.8128394333276356,0.9098189473152161,0.33912625908851624,35.47929382324219,9.889832496643066,0.20042012631893158,0.02221585251390934,1.3063054084777832,4.088482856750488
M,fold4,0.8408234966947734,0.8159138970489931,0.7371804196485812,0.7841618641911698,0.9179272457922178,0.7957291769916174,0.8275913075272298,0.8014592366344372,0.92005854845047,0.34403926134109497,35.7458610534668,10.517043113708496,0.2002546638250351,0.023152736946940422,1.5189427137374878,4.1508612632751465
S,fold4,0.8258159677513645,,,,,,,,0.9508170485496521,,,,,,,
R,fold4,0.8415106743130081,,,,,,,,5.086142872235997,,,,,,,
X,fold4,0.8102865715058845,,,,,,,,4.767321586608887,,,,,,,
