Metric,Model,EC,soiltype
R2,MT,0.384±0.141,0.790±0.066
R2,ST,0.387±0.154,0.784±0.068
R2,RF,-0.014±0.047,0.770±0.056
R2,SVR,-0.062±0.071,0.693±0.060
R2,XGB,-0.010±0.046,0.770±0.085
MSE,MT,0.002±0.000,0.313±0.059
MSE,ST,0.002±0.000,0.311±0.067
MSE,RF,0.003±0.000,0.319±0.068
MSE,SVR,0.003±0.000,0.277±0.061
MSE,XGB,0.003±0.000,0.340±0.087
