Metric,Model,EC,area
R2,MT,0.371±0.085,0.946±0.012
R2,ST,0.352±0.106,0.953±0.012
R2,RF,0.015±0.021,0.953±0.024
R2,SVR,-0.026±0.034,0.907±0.045
R2,XGB,0.020±0.020,0.936±0.019
MSE,MT,0.002±0.000,0.924±0.021
MSE,ST,0.002±0.000,0.935±0.019
MSE,RF,0.002±0.000,0.936±0.035
MSE,SVR,0.003±0.000,0.868±0.047
MSE,XGB,0.002±0.000,0.912±0.030
