Metric,Model,Available.P,area
R2,MT,0.303±0.245,0.953±0.016
R2,ST,0.341±0.203,0.953±0.016
R2,RF,-12344.711±10106.025,0.933±0.024
R2,SVR,-2083.689±1220.999,0.907±0.045
R2,XGB,-15739.738±16750.624,0.936±0.019
MSE,MT,5066.397±1088.093,0.933±0.025
MSE,ST,4875.149±1139.776,0.933±0.025
MSE,RF,74779133.456±19004201.608,0.907±0.034
MSE,SVR,13610307.378±1270279.132,0.868±0.047
MSE,XGB,85526467.200±36203037.291,0.912±0.030
