Metric,Model,CEC,Humus
R2,MT,0.375±0.123,0.346±0.184
R2,ST,0.401±0.105,0.327±0.159
R2,RF,-522.769±64.977,-43.520±8.040
R2,SVR,-454.386±82.734,-30.572±6.219
R2,XGB,-521.288±69.621,-43.013±6.695
MSE,MT,51.523±15.622,6.727±2.071
MSE,ST,49.151±13.492,6.920±1.830
MSE,RF,41782.723±2617.022,449.102±41.834
MSE,SVR,35972.322±1826.734,318.265±38.334
MSE,XGB,41673.166±3450.673,444.986±31.190
