Metric,Model,CEC,area
R2,MT,0.428±0.127,0.953±0.013
R2,ST,0.441±0.099,0.950±0.018
R2,RF,-518.060±79.895,0.940±0.023
R2,SVR,-465.195±87.784,0.907±0.045
R2,XGB,-532.834±87.047,0.936±0.019
MSE,MT,47.947±18.030,0.936±0.013
MSE,ST,46.458±15.084,0.928±0.028
MSE,RF,41284.289±3827.735,0.915±0.036
MSE,SVR,36805.277±2243.028,0.868±0.047
MSE,XGB,42378.148±3721.662,0.912±0.030
