Metric,Model,NH4.N,area
R2,MT,0.566±0.075,0.987±0.012
R2,ST,0.573±0.055,0.987±0.012
R2,RF,-1.249±1.201,0.977±0.013
R2,SVR,-0.739±0.884,0.973±0.023
R2,XGB,-1.789±1.637,0.967±0.011
MSE,MT,0.289±0.172,0.984±0.014
MSE,ST,0.274±0.138,0.984±0.014
MSE,RF,1.139±0.030,0.971±0.016
MSE,SVR,0.912±0.153,0.967±0.027
MSE,XGB,1.401±0.272,0.954±0.015
