index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2021-Hojo-089_S89,0,12694,19000,322,2267,476,0,9769,422,0,0,7,71,299,23,195,0,11,9309,0,74,3590,86,0,306,141,1387,4428,51,0,532,48,6129,19125,24,8,0,0,0,0,0,3042,0,0,0,0,25
2021-Hojo-090_S90,5,9987,13085,409,2227,665,0,6348,297,13,0,0,95,320,60,119,0,0,13408,0,82,2299,4,0,269,116,934,2781,87,0,654,70,6007,13948,42,8,5,8,0,0,0,2343,7,0,0,0,43
2021-Hojo-091_S91,0,14956,19070,583,1768,764,0,12343,378,7,0,0,86,462,9,72,15,33,21476,0,34,3208,8,0,280,131,784,4346,85,0,749,110,9494,20361,217,31,0,6,0,0,0,2544,239,0,10,0,12
2021-Hojo-092_S92,0,8300,11341,268,872,354,0,6568,186,0,0,0,0,205,0,24,14,24,12564,0,0,1997,0,0,103,84,546,2172,39,0,462,26,4690,10666,137,5,0,0,0,0,0,1265,125,0,0,0,0
2021-Hojo-093_S70,0,4849,36567,42,453,789,0,6902,1651,0,9,0,24,743,0,0,5,113,21142,0,0,563,9,0,112,173,374,4937,112,0,390,26,3663,13123,123,0,0,0,51,0,0,972,0,0,0,0,0
2021-Hojo-094_S94,0,10372,17573,474,2637,697,0,7583,244,0,0,0,65,493,24,113,0,25,16393,0,16,2391,14,0,472,116,1078,2926,157,0,679,56,5706,15353,17,0,8,9,0,0,0,2400,12,0,0,0,108
2021-Hojo-095_S95,7,13640,17382,760,3031,743,0,12540,400,62,0,12,141,496,34,120,20,15,11378,0,49,3332,0,0,592,176,1657,4040,247,0,883,114,9192,19085,91,15,5,12,0,0,0,2875,18,0,6,0,131
2021-Hojo-096_S96,9,12366,15012,850,1990,423,0,11644,455,0,0,37,114,424,32,136,11,26,13185,0,50,3025,0,0,652,109,1009,2963,167,0,711,43,7056,15305,15,11,6,10,0,0,0,1855,0,0,0,0,126
2021-Hojo-097_S97,0,7461,11020,397,1952,459,0,7107,231,10,0,0,105,177,42,92,12,19,6095,0,43,2777,0,0,238,49,711,1957,54,0,457,101,4936,10519,7,4,0,19,0,0,0,2097,15,0,0,0,58
2021-Hojo-098_S98,0,9500,13843,271,2031,357,0,7889,195,0,0,14,22,256,0,75,0,0,5449,0,44,2670,4,0,250,125,702,2841,54,0,604,83,5855,13443,0,0,0,0,0,0,0,2490,23,0,0,0,0
2021-Hojo-099_S99,5,8253,11344,557,1833,361,0,6727,705,0,0,0,31,216,54,126,9,45,7361,0,26,2977,14,0,372,63,495,2407,97,0,511,51,4928,12477,34,0,4,0,0,0,0,1792,13,0,0,0,10
2021-Hojo-100_S100,3,9912,15607,627,1352,470,0,9031,248,0,0,4,14,236,19,0,0,24,7632,0,17,2866,0,0,250,113,270,2863,31,0,502,57,6576,13405,108,24,0,0,0,0,0,1719,265,0,9,0,14
2021-Hojo-101_S71,0,8183,35172,291,308,728,0,24920,103,0,0,0,0,103,0,0,0,6,1113,0,0,1424,0,0,16,0,13,1899,0,0,208,0,5608,14843,127,0,0,0,0,0,0,1771,2595,0,0,0,0
2021-Hojo-102_S102,6,10800,14632,654,2167,428,0,10071,703,7,0,0,65,304,30,179,10,54,8246,0,15,3104,0,0,525,47,781,3611,143,0,872,42,6447,15566,100,0,0,0,0,0,0,2200,6,0,0,0,69
2021-Hojo-103_S103,0,7621,9663,339,1346,343,0,6760,225,0,0,0,72,277,35,117,0,15,8191,0,35,2089,0,0,150,44,516,2314,61,0,461,63,4723,11077,20,5,0,5,0,0,0,1701,14,0,0,0,21
2021-Hojo-104_S104,5,13212,21693,901,3483,576,0,11576,450,4,0,39,76,232,40,163,0,8,20639,0,21,4615,15,0,368,56,527,5013,53,0,679,149,8528,22056,119,13,3,0,0,0,0,2455,20,0,0,0,0
2021-Hojo-105_S105,0,2865,3955,230,397,26,0,2958,162,7,0,8,11,39,0,0,9,4,1611,0,60,682,0,0,82,29,241,1126,8,0,94,8,1376,4534,37,0,0,0,0,0,0,586,13,0,0,0,0
2021-Hojo-106_S106,0,4389,5424,138,798,60,0,3444,101,3,0,0,16,132,8,61,11,0,4807,0,17,1311,11,0,71,44,519,1535,76,0,278,43,2302,6414,32,14,0,0,0,0,0,1065,0,0,0,0,4
2021-Hojo-107_S107,0,4931,7066,237,697,80,0,4215,249,3,0,12,43,115,0,60,0,11,3584,0,9,1561,26,0,36,48,335,1439,17,0,325,48,2413,7615,22,14,0,0,0,0,0,988,10,0,0,0,0
2021-Hojo-108_S108,4,7590,10345,480,1202,271,0,7215,326,13,0,6,9,165,47,54,14,0,3938,0,69,1923,21,0,171,55,405,2254,19,0,326,55,5331,11255,67,9,7,0,0,0,0,1521,170,0,0,0,0
2021-Hojo-109_S109,0,6076,9200,281,1219,36,0,4331,0,0,0,0,27,143,12,141,0,0,1923,0,0,1282,3,0,136,16,814,1748,58,0,438,0,4412,10831,128,0,0,0,0,0,0,2303,0,0,0,0,0
2021-Hojo-110_S88,0,18284,28816,1313,2348,155,0,11480,22,0,0,0,26,475,15,228,0,0,6012,0,0,3619,15,0,390,47,3429,4698,176,0,939,0,10275,31260,579,0,9,20,0,0,0,4529,0,0,0,0,0
2021-Hojo-111_S111,3,8022,8871,375,1108,263,0,6427,33,0,0,0,38,161,0,148,0,0,1840,0,0,1715,0,0,100,59,870,1618,73,0,429,0,6706,11849,173,0,0,0,0,0,0,2224,29,0,0,0,0
2021-Hojo-112_S112,5,6025,7814,77,740,67,0,7074,46,0,0,0,10,88,17,86,0,0,1521,0,14,623,0,0,36,7,291,685,11,0,234,14,4199,8562,224,0,0,0,0,0,0,1327,68,0,0,0,0
2021-Hojo-113_S113,0,11412,18446,508,3513,266,0,9852,19,7,0,0,54,166,0,195,0,0,3870,0,0,1472,73,0,226,24,969,2776,183,0,740,0,7010,21259,70,0,0,9,0,0,0,3321,0,0,0,0,0
