Metric,Model,Inorganic.N,area
R2,MT,0.360±0.102,0.950±0.011
R2,ST,0.342±0.101,0.946±0.012
R2,RF,-7.819±2.595,0.943±0.023
R2,SVR,-3.735±1.678,0.907±0.045
R2,XGB,-8.189±3.083,0.936±0.019
MSE,MT,3.399±0.636,0.929±0.017
MSE,ST,3.523±0.771,0.924±0.021
MSE,RF,45.056±3.544,0.924±0.027
MSE,SVR,23.921±3.471,0.868±0.047
MSE,XGB,46.323±6.213,0.912±0.030
