Metric,Model,pH,crop
R2,MT,0.829±0.065,0.739±0.064
R2,MT_comp,0.828±0.063,0.689±0.068
R2,ST,0.831±0.064,0.826±0.070
R2,RF,0.809±0.065,0.779±0.070
