,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.7466244048995594,0.5449035151230717,0.7708771856976946,0.5715204082640979,0.9084453772254616,0.6049548216975659,0.8352968692779541,0.18886971473693848,18.26819610595703,9.73426342010498,0.17520193755626678,0.020751670002937317
M,fold1,0.7418162366311721,0.5559073062882681,0.7589187210067319,0.5868358317397702,0.9005690571228292,0.5886004759912805,0.8339906334877014,0.18505726754665375,18.93175506591797,9.643905639648438,0.18244829773902893,0.020992958918213844
S,fold1,0.6268122962806658,,,,,,1.045129656791687,,,,,
R,fold1,0.7352462452198764,,,,,,1.8280950003077203,,,,,
X,fold1,0.7194162639719334,,,,,,1.8420401811599731,,,,,
S,fold1,0.7407063804723023,,,,,,1.6580148177118779,,,,,
S,fold1,,0.53796007297286,,,,,,0.1883293241262436,,,,
R,fold1,,0.39841847048422585,,,,,,0.2609842238335664,,,,
X,fold1,,0.4219621597579459,,,,,,0.25490686297416687,,,,
S,fold1,,0.5531344761811933,,,,,,0.2583904051496048,,,,
S,fold1,,,0.5976557857362441,,,,,,29.424013137817383,,,
R,fold1,,,0.8120270020747459,,,,,,1955.8746007876143,,,
X,fold1,,,0.7877567221861167,,,,,,2095.107666015625,,,
S,fold1,,,0.5082798193599931,,,,,,1401.2443863345854,,,
S,fold1,,,,0.5419229825346656,,,,,,9.87851619720459,,
R,fold1,,,,0.4733345126521673,,,,,,409.90079082255966,,
X,fold1,,,,0.5586382504419909,,,,,,412.4283447265625,,
S,fold1,,,,0.4935554944306976,,,,,,387.1748839366743,,
S,fold1,,,,,0.8988731956873309,,,,,,0.18002374470233917,
R,fold1,,,,,0.8953950427236995,,,,,,3.4501651699305884,
X,fold1,,,,,0.871565730370225,,,,,,3.446794271469116,
S,fold1,,,,,0.9008032182757895,,,,,,3.449970015088183,
S,fold1,,,,,,0.5455263215231709,,,,,,0.0232351403683424
R,fold1,,,,,,0.5894491985627959,,,,,,0.027966324797415832
X,fold1,,,,,,0.5987153947673496,,,,,,0.027907537296414375
S,fold1,,,,,,,,,,,,0.028312336287551577
M,fold2,0.7700320054491301,0.7145230685121987,0.6883981398321235,0.6057498820438109,0.9076504176066132,0.6637900799861013,0.6627922058105469,0.17566744983196259,20.22037124633789,8.210318565368652,0.2109120935201645,0.022424016147851944
M,fold2,0.7714143761538603,0.6972798253335233,0.6747941989354098,0.604242751279742,0.8866427270935958,0.6698388690591716,0.6594110131263733,0.17739564180374146,20.7125244140625,8.309391021728516,0.23451748490333557,0.021993257105350494
S,fold2,0.7794414073368484,,,,,,0.6590023040771484,,,,,
R,fold2,0.7652617688801543,,,,,,2.0773661247979387,,,,,
X,fold2,0.6893356406762411,,,,,,2.019655466079712,,,,,
S,fold2,0.7432304449065165,,,,,,1.6816404110742456,,,,,
S,fold2,,0.6873877336092561,,,,,,0.17431238293647766,,,,
R,fold2,,0.47138423506898897,,,,,,0.2520725179815506,,,,
X,fold2,,0.31330944377883785,,,,,,0.24745401740074158,,,,
S,fold2,,0.6826206862550591,,,,,,0.2475620580329294,,,,
