Metric,Model,NO3.N,area
R2,MT,0.401±0.090,0.953±0.016
R2,ST,0.393±0.077,0.950±0.011
R2,RF,-4.137±1.334,0.943±0.025
R2,SVR,-1.211±0.515,0.907±0.045
R2,XGB,-4.430±1.899,0.936±0.019
MSE,MT,3.239±0.701,0.933±0.025
MSE,ST,3.281±0.659,0.929±0.017
MSE,RF,26.905±3.781,0.920±0.038
MSE,SVR,11.618±1.671,0.868±0.047
MSE,XGB,27.963±5.529,0.912±0.030
