,,accuracy,accuracy,Loss,Loss
,,NO3.N,soiltype,NO3.N,soiltype
method,fold,,,,
M,fold1,0.35674864053726196,0.8166666666666667,2.4129724502563477,0.2841000807102502
S,fold1,0.34463924169540405,,2.458397388458252,
R,fold1,-9.415059301759023,,39.06910009093513,
X,fold1,-8.23609733581543,,34.64656448364258,
S,fold1,-3.4101083766415448,,16.543253435895465,
S,fold1,,0.85,,0.29570217917675545
R,fold1,,0.7833333333333333,,0.2727272727272727
X,fold1,,0.8,,0.44164346839880403
S,fold1,,0.6666666666666666,,0.22946859903381642
M,fold2,0.26010382175445557,0.8813559322033898,3.9373996257781982,0.6068604521661655
