Metric,Model,CEC,Humus
R2,MT,0.383±0.025,0.362±0.118
R2,ST,0.412±0.107,0.381±0.138
R2,RF,-531.222±65.710,-43.631±7.760
R2,SVR,-482.432±49.017,-35.019±5.716
R2,XGB,-536.040±64.697,-43.591±4.562
MSE,MT,50.428±3.543,6.636±1.336
MSE,ST,48.068±9.649,6.488±1.745
MSE,RF,43269.167±4025.865,458.406±42.066
MSE,SVR,39325.342±2784.743,370.183±27.553
MSE,XGB,43646.520±3647.218,460.146±14.393
