Metric,Model,Humus,area
R2,MT,0.416±0.188,0.953±0.016
R2,ST,0.404±0.180,0.950±0.018
R2,RF,-43.797±8.329,0.946±0.019
R2,SVR,-30.638±6.326,0.907±0.045
R2,XGB,-42.498±8.516,0.936±0.019
MSE,MT,6.040±2.180,0.933±0.025
MSE,ST,6.132±2.054,0.928±0.028
MSE,RF,451.611±45.395,0.926±0.029
MSE,SVR,318.459±35.865,0.868±0.047
MSE,XGB,437.593±47.063,0.912±0.030
